#{"t_start": 1707792797.974192, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.034636
12.0,12,0.041854
34.0,34,0.059057
11.0,11,0.064615
20.0,20,0.08719
21.0,21,0.11827
21.0,21,0.150195
20.0,20,0.188532
13.0,13,0.231867
35.0,35,0.275731
25.0,25,0.31343
23.0,23,0.374221
11.0,11,0.38033
11.0,11,0.41058
22.0,22,0.422597
50.0,50,0.482185
28.0,28,0.53355
14.0,14,0.541227
22.0,22,0.569728
22.0,22,0.597972
42.0,42,0.636863
15.0,15,0.661299
22.0,22,0.682019
22.0,22,0.710306
13.0,13,0.717417
12.0,12,0.732241
26.0,26,0.762768
41.0,41,0.801586
60.0,60,0.866369
12.0,12,0.889431
25.0,25,0.919351
46.0,46,0.960613
15.0,15,0.992961
20.0,20,1.004404
18.0,18,1.030473
27.0,27,1.069899
20.0,20,1.081005
15.0,15,1.105745
14.0,14,1.113315
21.0,21,1.148946
13.0,13,1.156112
25.0,25,1.185839
11.0,11,1.20799
10.0,10,1.213962
31.0,31,1.363188
12.0,12,1.385958
36.0,36,1.422009
31.0,31,1.455108
11.0,11,1.461144
16.0,16,1.486162
25.0,25,1.513156
15.0,15,1.538199
54.0,54,1.583893
37.0,37,1.636266
28.0,28,1.668236
15.0,15,1.676477
15.0,15,1.700912
21.0,21,1.712493
13.0,13,1.735881
17.0,17,1.745124
23.0,23,1.757663
14.0,14,1.76528
16.0,16,1.774493
20.0,20,1.785445
28.0,28,1.800695
19.0,19,1.811008
27.0,27,1.825772
28.0,28,1.840884
13.0,13,1.847994
20.0,20,1.859441
32.0,32,1.876525
43.0,43,1.904034
12.0,12,1.926859
15.0,15,1.934994
29.0,29,1.966865
17.0,17,1.976517
22.0,22,1.9885
15.0,15,1.996619
20.0,20,2.007536
9.0,9,2.012383
14.0,14,2.020105
35.0,35,2.0389
10.0,10,2.044276
25.0,25,2.058418
13.0,13,2.065529
44.0,44,2.089015
12.0,12,2.095622
10.0,10,2.101297
35.0,35,2.120266
24.0,24,2.133233
10.0,10,2.157349
81.0,81,3.040646
22.0,22,3.068974
34.0,34,3.103756
10.0,10,3.109184
20.0,20,3.14452
9.0,9,3.149578
25.0,25,3.180175
11.0,11,3.202595
14.0,14,3.210211
39.0,39,3.264101
11.0,11,3.270332
14.0,14,3.294077
20.0,20,3.304873
14.0,14,3.329298
27.0,27,3.3601
14.0,14,3.367861
19.0,19,3.395026
17.0,17,3.404356
13.0,13,3.427923
49.0,49,3.487283
21.0,21,3.498762
20.0,20,3.525683
105.0,105,3.648176
17.0,17,3.657324
8.0,8,3.661685
17.0,17,3.67152
34.0,34,3.690014
29.0,29,3.705861
25.0,25,3.719434
15.0,15,3.72754
17.0,17,3.736826
11.0,11,3.742867
33.0,33,3.761472
22.0,22,3.773358
17.0,17,3.78294
22.0,22,3.795071
20.0,20,3.805994
14.0,14,3.813509
17.0,17,3.839084
15.0,15,3.847266
15.0,15,3.871702
19.0,19,3.898293
27.0,27,3.939867
54.0,54,3.969353
11.0,11,3.975362
37.0,37,3.995448
17.0,17,4.004705
38.0,38,4.02544
17.0,17,4.034696
13.0,13,4.042453
28.0,28,4.057701
30.0,30,4.073755
8.0,8,4.07815
28.0,28,4.093532
28.0,28,4.108919
11.0,11,4.115013
16.0,16,4.140093
22.0,22,4.152121
23.0,23,4.181651
22.0,22,4.22646
17.0,17,4.236136
13.0,13,4.259656
44.0,44,4.300084
17.0,17,4.325728
16.0,16,4.334559
11.0,11,4.356828
66.0,66,4.429242
11.0,11,4.435273
56.0,56,4.498552
17.0,17,4.524073
39.0,39,4.561399
16.0,16,4.58318
13.0,13,4.591095
22.0,22,4.619429
22.0,22,4.647749
16.0,16,4.656573
11.0,11,4.678909
11.0,11,4.684959
12.0,12,4.707834
19.0,19,4.718339
