#{"t_start": 1707792798.0009594, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.064811
11.0,11,0.071499
50.0,50,0.101161
9.0,9,0.106272
13.0,13,0.113431
24.0,24,0.135327
10.0,10,0.140214
20.0,20,0.150471
12.0,12,0.157594
18.0,18,0.168277
10.0,10,0.174407
27.0,27,0.189406
19.0,19,0.199688
34.0,34,0.218003
25.0,25,0.231891
24.0,24,0.245779
28.0,28,0.26084
24.0,24,0.27362
25.0,25,0.287528
29.0,29,0.302987
65.0,65,0.338528
32.0,32,0.356084
15.0,15,0.364108
27.0,27,0.378484
41.0,41,0.400605
20.0,20,0.411314
10.0,10,0.41664
17.0,17,0.425811
12.0,12,0.43226
11.0,11,0.438143
14.0,14,0.446242
13.0,13,0.453285
12.0,12,0.459826
48.0,48,0.485732
24.0,24,0.498776
15.0,15,0.506936
27.0,27,0.521138
30.0,30,0.536799
34.0,34,0.555091
12.0,12,0.56129
36.0,36,0.580204
19.0,19,0.590427
16.0,16,0.599003
10.0,10,0.604822
85.0,85,0.786623
13.0,13,0.793587
15.0,15,0.801638
45.0,45,0.825864
19.0,19,0.836571
28.0,28,0.851572
17.0,17,0.860678
37.0,37,0.880501
10.0,10,0.885773
16.0,16,0.894154
26.0,26,0.908046
12.0,12,0.915012
15.0,15,0.923092
30.0,30,0.939093
10.0,10,0.944527
29.0,29,0.975941
22.0,22,0.985954
17.0,17,1.009706
10.0,10,1.014307
26.0,26,1.039252
22.0,22,1.05751
13.0,13,1.06647
10.0,10,1.071863
52.0,52,1.099068
19.0,19,1.108957
29.0,29,1.125256
49.0,49,1.151347
15.0,15,1.159335
15.0,15,1.167538
13.0,13,1.17467
18.0,18,1.184235
28.0,28,1.19941
16.0,16,1.208739
27.0,27,1.222984
11.0,11,1.228884
20.0,20,1.239842
13.0,13,1.248581
11.0,11,1.255067
14.0,14,1.262485
42.0,42,1.284977
14.0,14,1.2924
17.0,17,1.301355
12.0,12,1.307816
19.0,19,1.317911
15.0,15,1.325922
46.0,46,1.359678
12.0,12,1.366122
14.0,14,1.842081
45.0,45,1.866375
26.0,26,1.880544
21.0,21,1.891913
16.0,16,1.90125
14.0,14,1.908917
20.0,20,1.927893
16.0,16,1.936641
47.0,47,1.993787
9.0,9,1.998534
21.0,21,2.026964
35.0,35,2.064848
20.0,20,2.089838
39.0,39,2.147559
24.0,24,2.173791
24.0,24,2.200758
26.0,26,2.235746
43.0,43,2.279496
17.0,17,2.308924
18.0,18,2.318828
23.0,23,2.348102
35.0,35,2.396517
50.0,50,2.43859
13.0,13,2.452859
11.0,11,2.472545
16.0,16,2.481294
39.0,39,2.502158
25.0,25,2.515636
24.0,24,2.52836
29.0,29,2.575486
16.0,16,2.584234
57.0,57,2.643256
12.0,12,2.649801
16.0,16,2.67916
19.0,19,2.689638
20.0,20,2.716493
42.0,42,2.75553
26.0,26,2.822082
13.0,13,2.829151
54.0,54,2.890651
36.0,36,2.926228
11.0,11,2.948489
15.0,15,2.956577
35.0,35,3.00797
32.0,32,3.042308
21.0,21,3.072505
27.0,27,3.095071
24.0,24,3.120171
10.0,10,3.133754
15.0,15,3.164081
19.0,19,3.186094
16.0,16,3.2027
25.0,25,3.233404
16.0,16,3.243842
14.0,14,3.252136
53.0,53,3.283508
13.0,13,3.291758
11.0,11,3.297941
32.0,32,3.332338
26.0,26,3.368366
23.0,23,3.397207
25.0,25,3.43422
21.0,21,3.458153
24.0,24,3.478825
26.0,26,3.521999
19.0,19,3.545386
96.0,96,3.640006
18.0,18,3.650131
11.0,11,3.656116
18.0,18,3.677976
13.0,13,3.6922
17.0,17,3.703078
22.0,22,3.717083
13.0,13,3.731119
11.0,11,3.746228
11.0,11,3.752329
31.0,31,3.790904
12.0,12,3.808831
11.0,11,3.820021
26.0,26,3.855303
21.0,21,3.882942
10.0,10,3.924156
20.0,20,3.937804
37.0,37,3.966778
21.0,21,3.981038
32.0,32,4.534101
29.0,29,4.549768
17.0,17,4.558949
20.0,20,4.569661
16.0,16,4.57843
28.0,28,4.5934
17.0,17,4.602486
13.0,13,4.609565
10.0,10,4.614954
18.0,18,4.626428
38.0,38,4.649081
45.0,45,4.688123
48.0,48,4.717841
13.0,13,4.725405
29.0,29,4.741951
37.0,37,4.76289
49.0,49,4.790098
16.0,16,4.79955
21.0,21,4.813175
13.0,13,4.821899
15.0,15,4.830453
15.0,15,4.839197
33.0,33,4.857982
16.0,16,4.867512
18.0,18,4.879498
27.0,27,4.894871
34.0,34,4.914769
12.0,12,4.921607
25.0,25,4.935776
12.0,12,4.942443
17.0,17,4.952175
25.0,25,4.965978
20.0,20,4.977531
31.0,31,4.995147
28.0,28,5.010604
56.0,56,5.043645
16.0,16,5.054746
13.0,13,5.079371
17.0,17,5.089004
18.0,18,5.099417
9.0,9,5.104545
11.0,11,5.110873
23.0,23,5.123855
18.0,18,5.134429
13.0,13,5.141773
42.0,42,5.170903
31.0,31,5.18923
14.0,14,5.197443
29.0,29,5.213856
13.0,13,5.221302
19.0,19,5.233235
22.0,22,5.245622
12.0,12,5.252456
11.0,11,5.258894
37.0,37,5.279424
40.0,40,5.301348
66.0,66,5.340143
12.0,12,5.346847
13.0,13,5.355262
21.0,21,5.367007
13.0,13,5.374495
73.0,73,5.417004
16.0,16,5.42587
38.0,38,5.44716
15.0,15,5.469201
38.0,38,5.500553
16.0,16,5.523995
18.0,18,5.543618
58.0,58,5.629377
41.0,41,5.65754
26.0,26,5.682921
23.0,23,5.704518
28.0,28,5.728761
25.0,25,5.746179
21.0,21,5.769614
16.0,16,5.781727
10.0,10,5.788787
21.0,21,5.802949
53.0,53,5.859854
36.0,36,5.89089
38.0,38,5.924632
19.0,19,5.937404
32.0,32,6.72591
74.0,74,6.806674
16.0,16,6.823174
40.0,40,6.872675
45.0,45,6.926023
22.0,22,6.938202
33.0,33,6.984158
74.0,74,7.051913
52.0,52,7.079296
15.0,15,7.087734
43.0,43,7.111251
18.0,18,7.121097
108.0,108,7.219222
35.0,35,7.248115
37.0,37,7.30247
35.0,35,7.33296
22.0,22,7.354973
62.0,62,7.425698
23.0,23,7.438272
25.0,25,7.453056
16.0,16,7.461791
20.0,20,7.473008
28.0,28,7.505691
15.0,15,7.514447
58.0,58,7.549011
20.0,20,7.572046
15.0,15,7.5928
25.0,25,7.60675
16.0,16,7.616082
37.0,37,7.637007
19.0,19,7.647455
20.0,20,7.658744
34.0,34,7.685155
30.0,30,7.701866
28.0,28,7.720407
10.0,10,7.725797
50.0,50,7.754018
36.0,36,7.795638
17.0,17,7.824883
36.0,36,7.861917
20.0,20,7.886914
15.0,15,7.908079
12.0,12,7.915047
18.0,18,7.94319
17.0,17,7.960513
24.0,24,7.99308
55.0,55,8.057509
44.0,44,8.109236
22.0,22,8.132931
39.0,39,8.179602
21.0,21,8.203494
24.0,24,8.229222
23.0,23,8.269273
45.0,45,8.325062
56.0,56,8.356898
68.0,68,8.394979
20.0,20,8.425408
24.0,24,8.439293
37.0,37,8.460109
94.0,94,8.529763
20.0,20,8.552165
29.0,29,9.135849
24.0,24,9.150284
15.0,15,9.160094
37.0,37,9.188333
41.0,41,9.234797
32.0,32,9.266794
18.0,18,9.292885
28.0,28,9.320938
33.0,33,9.359053
51.0,51,9.417308
86.0,86,9.505785
46.0,46,9.561526
13.0,13,9.568647
26.0,26,9.598939
41.0,41,9.64419
13.0,13,9.651266
48.0,48,9.709606
23.0,23,9.739927
24.0,24,9.767285
17.0,17,9.792821
70.0,70,9.867811
45.0,45,9.920847
11.0,11,9.926829
25.0,25,9.950921
53.0,53,10.046142
36.0,36,10.090283
22.0,22,10.115924
42.0,42,10.161142
31.0,31,10.202948
18.0,18,10.213428
23.0,23,10.246927
22.0,22,10.279099
11.0,11,10.285382
21.0,21,10.296798
38.0,38,10.338167
39.0,39,10.40155
70.0,70,10.480658
25.0,25,10.494469
28.0,28,10.530215
36.0,36,10.570221
26.0,26,10.604721
23.0,23,10.617652
30.0,30,10.654292
24.0,24,10.687693
17.0,17,10.696971
27.0,27,10.746355
15.0,15,10.754427
36.0,36,10.802306
16.0,16,10.82371
24.0,24,10.83766
33.0,33,10.877304
39.0,39,10.898973
79.0,79,10.942463
14.0,14,10.95034
21.0,21,10.963256
35.0,35,10.982731
23.0,23,10.995528
39.0,39,11.027817
13.0,13,11.035162
21.0,21,11.046765
23.0,23,11.05945
23.0,23,11.072
29.0,29,11.108453
42.0,42,11.151157
16.0,16,11.16003
29.0,29,11.197386
46.0,46,12.182225
80.0,80,12.264274
21.0,21,12.276038
15.0,15,12.28427
32.0,32,12.302051
40.0,40,12.324238
20.0,20,12.335505
13.0,13,12.34286
20.0,20,12.353781
18.0,18,12.364157
54.0,54,12.393907
28.0,28,12.411028
45.0,45,12.465002
84.0,84,12.561132
54.0,54,12.590636
18.0,18,12.600699
32.0,32,12.618748
66.0,66,12.655046
51.0,51,12.697365
22.0,22,12.709384
56.0,56,12.772759
19.0,19,12.786584
16.0,16,12.796255
31.0,31,12.815212
46.0,46,12.843371
26.0,26,12.857646
34.0,34,12.876462
12.0,12,12.8832
32.0,32,12.901207
15.0,15,12.909591
57.0,57,12.941153
26.0,26,12.955491
54.0,54,12.985509
22.0,22,12.999446
23.0,23,13.012337
23.0,23,13.041282
14.0,14,13.048751
20.0,20,13.059605
38.0,38,13.079863
40.0,40,13.101939
19.0,19,13.112499
9.0,9,13.117457
37.0,37,13.170327
64.0,64,13.231781
18.0,18,13.263435
20.0,20,13.274904
18.0,18,13.287164
56.0,56,13.320355
27.0,27,13.33732
18.0,18,13.347729
12.0,12,13.354366
18.0,18,13.374852
28.0,28,13.410675
32.0,32,13.450243
18.0,18,13.471928
25.0,25,13.496554
29.0,29,13.549135
23.0,23,13.582261
39.0,39,13.637118
21.0,21,13.671015
20.0,20,13.68215
78.0,78,13.786
16.0,16,13.804953
43.0,43,13.83147
23.0,23,13.8443
17.0,17,14.698244
32.0,32,14.734586
40.0,40,14.788438
37.0,37,14.825815
18.0,18,14.848139
29.0,29,14.877498
47.0,47,14.928988
39.0,39,14.951845
30.0,30,14.96899
75.0,75,15.010371
22.0,22,15.023742
105.0,105,15.081753
22.0,22,15.094007
20.0,20,15.105507
19.0,19,15.116276
13.0,13,15.123429
18.0,18,15.133636
18.0,18,15.143415
34.0,34,15.189713
32.0,32,15.238575
22.0,22,15.269005
20.0,20,15.282088
23.0,23,15.326706
69.0,69,15.364913
41.0,41,15.387304
26.0,26,15.40176
30.0,30,15.418847
35.0,35,15.438433
94.0,94,15.549588
25.0,25,15.565493
27.0,27,15.607869
20.0,20,15.622612
18.0,18,15.633071
17.0,17,15.644385
29.0,29,15.660149
29.0,29,15.687972
20.0,20,15.699522
35.0,35,15.72832
27.0,27,15.744003
25.0,25,15.764168
14.0,14,15.772087
79.0,79,15.828315
27.0,27,15.853541
23.0,23,15.868199
15.0,15,15.883188
26.0,26,15.911366
22.0,22,15.925899
19.0,19,15.943243
27.0,27,15.965036
24.0,24,15.985252
19.0,19,16.005016
30.0,30,16.026606
18.0,18,16.039519
42.0,42,16.063131
19.0,19,16.074687
22.0,22,16.10442
16.0,16,16.113543
22.0,22,16.126097
31.0,31,16.143548
16.0,16,16.152662
57.0,57,16.195685
26.0,26,16.210495
48.0,48,16.23734
18.0,18,16.24942
12.0,12,16.256124
30.0,30,16.273184
12.0,12,16.284132
39.0,39,16.307576
40.0,40,16.93941
18.0,18,16.950011
14.0,14,16.957807
46.0,46,16.994756
29.0,29,17.031894
31.0,31,17.05808
26.0,26,17.097092
20.0,20,17.124711
24.0,24,17.13817
31.0,31,17.156941
22.0,22,17.169479
21.0,21,17.181467
11.0,11,17.187535
36.0,36,17.207874
17.0,17,17.217966
44.0,44,17.24627
17.0,17,17.255976
16.0,16,17.265055
36.0,36,17.298373
17.0,17,17.315342
43.0,43,17.357039
26.0,26,17.389538
30.0,30,17.431694
33.0,33,17.473526
30.0,30,17.528166
18.0,18,17.546211
30.0,30,17.57314
34.0,34,17.591718
38.0,38,17.612264
20.0,20,17.6231
