#{"t_start": 1707793423.7166877, "env_id": "CartPole-v1"}
r,l,t
20.0,20,0.027386
19.0,19,0.034347
17.0,17,0.040203
33.0,33,0.051931
15.0,15,0.058012
14.0,14,0.062821
38.0,38,0.075146
12.0,12,0.078891
34.0,34,0.089839
16.0,16,0.095039
29.0,29,0.104482
47.0,47,0.119321
26.0,26,0.127573
28.0,28,0.136461
13.0,13,0.14061
41.0,41,0.156522
33.0,33,0.168935
40.0,40,0.181333
43.0,43,0.194905
15.0,15,0.199733
10.0,10,0.20286
55.0,55,0.220033
41.0,41,0.232866
13.0,13,0.236963
9.0,9,0.239814
20.0,20,0.246003
13.0,13,0.250327
14.0,14,0.25471
30.0,30,0.263947
11.0,11,0.267417
22.0,22,0.274313
12.0,12,0.278052
18.0,18,0.283837
18.0,18,0.289407
52.0,52,0.306036
19.0,19,0.312153
15.0,15,0.31707
11.0,11,0.320634
15.0,15,0.325271
21.0,21,0.332019
22.0,22,0.338943
15.0,15,0.343739
16.0,16,0.374521
14.0,14,0.378967
26.0,26,0.387242
13.0,13,0.391415
17.0,17,0.396662
41.0,41,0.409815
13.0,13,0.414028
11.0,11,0.41777
19.0,19,0.423692
25.0,25,0.431769
22.0,22,0.438598
26.0,26,0.44657
27.0,27,0.455833
16.0,16,0.461088
50.0,50,0.476764
20.0,20,0.48304
12.0,12,0.486724
35.0,35,0.497585
24.0,24,0.50544
19.0,19,0.511534
16.0,16,0.516673
22.0,22,0.523368
21.0,21,0.529903
16.0,16,0.535528
38.0,38,0.547764
11.0,11,0.551916
22.0,22,0.561529
16.0,16,0.56678
44.0,44,0.580939
12.0,12,0.58497
31.0,31,0.595353
12.0,12,0.599343
41.0,41,0.61238
13.0,13,0.616554
21.0,21,0.623237
10.0,10,0.626315
15.0,15,0.631316
14.0,14,0.63596
37.0,37,0.647652
30.0,30,0.657269
17.0,17,0.662539
39.0,39,0.674761
15.0,15,0.679434
35.0,35,0.69026
46.0,46,0.70905
15.0,15,0.713826
19.0,19,0.941054
13.0,13,0.945207
27.0,27,0.953869
21.0,21,0.960323
20.0,20,0.966496
15.0,15,0.971271
30.0,30,0.98085
18.0,18,0.986799
21.0,21,0.993437
11.0,11,0.996918
25.0,25,1.004809
13.0,13,1.008793
20.0,20,1.015107
10.0,10,1.018325
18.0,18,1.023942
32.0,32,1.034155
36.0,36,1.045556
27.0,27,1.055084
17.0,17,1.061275
29.0,29,1.072143
21.0,21,1.078959
27.0,27,1.0881
35.0,35,1.099377
11.0,11,1.102882
27.0,27,1.111408
22.0,22,1.118823
29.0,29,1.127912
32.0,32,1.13808
19.0,19,1.144115
17.0,17,1.14952
18.0,18,1.155372
14.0,14,1.159718
28.0,28,1.168571
20.0,20,1.174767
15.0,15,1.179421
21.0,21,1.186549
17.0,17,1.192087
17.0,17,1.197845
25.0,25,1.205855
19.0,19,1.212075
9.0,9,1.21489
24.0,24,1.222378
20.0,20,1.228598
27.0,27,1.237218
17.0,17,1.242495
25.0,25,1.255984
23.0,23,1.263078
57.0,57,1.280678
21.0,21,1.287244
11.0,11,1.290627
13.0,13,1.294842
15.0,15,1.299747
54.0,54,1.317003
