#{"t_start": 1707792798.0550742, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.061664
40.0,40,0.10499
25.0,25,0.119921
57.0,57,0.152325
37.0,37,0.172271
67.0,67,0.210459
23.0,23,0.223088
36.0,36,0.242757
15.0,15,0.251053
15.0,15,0.259236
27.0,27,0.273699
15.0,15,0.281717
24.0,24,0.295096
21.0,21,0.306421
17.0,17,0.315539
9.0,9,0.320571
14.0,14,0.328166
20.0,20,0.339089
19.0,19,0.349269
41.0,41,0.372006
20.0,20,0.382834
21.0,21,0.394401
13.0,13,0.401563
19.0,19,0.412145
10.0,10,0.417673
18.0,18,0.427258
25.0,25,0.440804
10.0,10,0.446199
15.0,15,0.454377
21.0,21,0.466063
17.0,17,0.475454
11.0,11,0.481395
24.0,24,0.49357
19.0,19,0.503914
19.0,19,0.514352
15.0,15,0.522035
11.0,11,0.527628
20.0,20,0.538567
37.0,37,0.55834
16.0,16,0.586468
15.0,15,0.594563
56.0,56,0.662139
31.0,31,0.738101
21.0,21,0.749574
14.0,14,0.757303
16.0,16,0.765742
28.0,28,0.780843
16.0,16,0.789726
17.0,17,0.798959
12.0,12,0.805592
29.0,29,0.822173
12.0,12,0.828695
22.0,22,0.840762
15.0,15,0.848646
24.0,24,0.876132
13.0,13,0.885925
19.0,19,0.907736
19.0,19,0.938346
16.0,16,0.947004
34.0,34,0.985647
25.0,25,0.999114
14.0,14,1.006882
20.0,20,1.017673
26.0,26,1.0316
38.0,38,1.051942
20.0,20,1.063505
37.0,37,1.08371
20.0,20,1.094448
19.0,19,1.104665
11.0,11,1.110585
16.0,16,1.120854
19.0,19,1.131043
48.0,48,1.160105
19.0,19,1.170481
22.0,22,1.190404
19.0,19,1.216441
32.0,32,1.247431
15.0,15,1.259773
34.0,34,1.296482
12.0,12,1.318727
19.0,19,1.337913
16.0,16,1.34974
9.0,9,1.354851
20.0,20,1.389972
24.0,24,1.419185
21.0,21,1.430629
29.0,29,1.462727
30.0,30,1.495269
55.0,55,1.574833
25.0,25,1.604542
16.0,16,2.557158
15.0,15,2.565293
13.0,13,2.572523
11.0,11,2.578444
9.0,9,2.583417
16.0,16,2.592395
12.0,12,2.598912
34.0,34,2.618578
16.0,16,2.630993
12.0,12,2.638147
14.0,14,2.648249
22.0,22,2.660461
17.0,17,2.670679
22.0,22,2.683561
16.0,16,2.692603
19.0,19,2.703392
12.0,12,2.710014
15.0,15,2.723372
20.0,20,2.742451
13.0,13,2.749595
11.0,11,2.755818
39.0,39,2.777134
26.0,26,2.792031
19.0,19,2.802559
18.0,18,2.812355
19.0,19,2.822811
11.0,11,2.82892
19.0,19,2.839975
15.0,15,2.849323
16.0,16,2.859441
17.0,17,2.876315
27.0,27,2.907735
18.0,18,2.938777
11.0,11,2.944851
12.0,12,2.967672
9.0,9,2.973244
11.0,11,2.979312
14.0,14,3.000282
12.0,12,3.007069
19.0,19,3.017389
11.0,11,3.023504
13.0,13,3.030538
47.0,47,3.056584
18.0,18,3.066409
17.0,17,3.075811
29.0,29,3.091498
14.0,14,3.099087
10.0,10,3.104687
32.0,32,3.123573
12.0,12,3.130717
13.0,13,3.138
21.0,21,3.15014
19.0,19,3.161329
11.0,11,3.167328
14.0,14,3.175379
21.0,21,3.200421
11.0,11,3.206681
13.0,13,3.213805
11.0,11,3.219906
14.0,14,3.227785
18.0,18,3.237683
17.0,17,3.246925
35.0,35,3.286218
14.0,14,3.301467
16.0,16,3.325667
11.0,11,3.340795
17.0,17,3.357471
19.0,19,3.375875
28.0,28,3.392492
35.0,35,3.41502
11.0,11,3.421853
15.0,15,3.43057
17.0,17,3.440517
17.0,17,3.454406
18.0,18,3.466697
11.0,11,3.473227
13.0,13,3.480904
16.0,16,3.490085
20.0,20,3.501759
16.0,16,3.527275
24.0,24,3.568539
15.0,15,3.57728
15.0,15,3.585295
15.0,15,3.597081
12.0,12,3.620502
16.0,16,3.629256
10.0,10,3.654593
11.0,11,3.660539
20.0,20,3.677241
27.0,27,3.71004
12.0,12,3.733042
18.0,18,3.742697
14.0,14,3.766881
34.0,34,3.80655
12.0,12,3.81379
30.0,30,3.862511
36.0,36,3.906663
17.0,17,3.916247
10.0,10,3.935537
15.0,15,3.944105
30.0,30,3.976784
14.0,14,4.001065
22.0,22,4.030079
15.0,15,4.054732
14.0,14,4.062449
13.0,13,4.07687
28.0,28,4.10617
53.0,53,4.149407
20.0,20,4.167675
13.0,13,4.192564
25.0,25,4.214208
15.0,15,4.223853
34.0,34,4.252482
21.0,21,4.9364
16.0,16,4.945592
26.0,26,4.960479
10.0,10,4.96591
13.0,13,4.984411
25.0,25,5.01552
73.0,73,5.106477
13.0,13,5.11421
14.0,14,5.131505
13.0,13,5.147437
12.0,12,5.160024
10.0,10,5.166528
30.0,30,5.210346
34.0,34,5.272272
16.0,16,5.281305
16.0,16,5.301279
16.0,16,5.309872
9.0,9,5.335118
11.0,11,5.341515
11.0,11,5.347706
10.0,10,5.369653
20.0,20,5.381296
23.0,23,5.413383
12.0,12,5.436243
9.0,9,5.441382
18.0,18,5.452227
10.0,10,5.474843
15.0,15,5.483064
18.0,18,5.510263
22.0,22,5.538723
11.0,11,5.544901
13.0,13,5.568836
24.0,24,5.581972
19.0,19,5.61179
39.0,39,5.669503
18.0,18,5.680127
15.0,15,5.696372
15.0,15,5.717319
14.0,14,5.739413
18.0,18,5.759452
12.0,12,5.766134
18.0,18,5.790843
13.0,13,5.798067
13.0,13,5.823163
15.0,15,5.845108
18.0,18,5.862571
10.0,10,5.868026
38.0,38,5.91809
15.0,15,5.938996
14.0,14,5.946687
11.0,11,5.970771
17.0,17,6.007967
27.0,27,6.043166
10.0,10,6.048666
11.0,11,6.056239
12.0,12,6.062718
20.0,20,6.093443
19.0,19,6.103767
12.0,12,6.126311
11.0,11,6.141407
14.0,14,6.160456
28.0,28,6.192787
10.0,10,6.20081
19.0,19,6.228367
12.0,12,6.241321
19.0,19,6.266176
15.0,15,6.281523
24.0,24,6.314987
25.0,25,6.347678
13.0,13,6.354812
20.0,20,6.373232
10.0,10,6.379337
11.0,11,6.386978
13.0,13,6.395322
13.0,13,6.403596
16.0,16,6.416432
21.0,21,6.430579
10.0,10,6.436348
18.0,18,6.447026
13.0,13,6.466553
17.0,17,6.486539
16.0,16,6.502764
10.0,10,6.522763
13.0,13,6.537288
12.0,12,6.551478
17.0,17,6.574012
15.0,15,6.591312
30.0,30,6.640333
17.0,17,6.649598
32.0,32,6.683179
11.0,11,6.701293
11.0,11,6.707346
17.0,17,6.72583
11.0,11,6.744244
19.0,19,6.770812
12.0,12,6.777795
9.0,9,6.782642
10.0,10,6.798432
11.0,11,6.821772
16.0,16,6.830725
21.0,21,6.843949
17.0,17,6.854156
9.0,9,6.859879
13.0,13,6.871721
13.0,13,6.879155
13.0,13,6.886134
12.0,12,6.89429
9.0,9,6.900354
14.0,14,6.908574
11.0,11,6.914527
13.0,13,6.937803
16.0,16,6.946638
28.0,28,6.978248
16.0,16,6.995506
28.0,28,7.019021
26.0,26,7.067393
19.0,19,7.09797
11.0,11,7.103976
17.0,17,7.122887
10.0,10,7.137789
13.0,13,7.158618
21.0,21,7.186433
12.0,12,7.199766
17.0,17,7.226634
16.0,16,7.864201
17.0,17,7.873613
27.0,27,7.888251
26.0,26,7.902568
26.0,26,7.916787
15.0,15,7.925068
27.0,27,7.939887
22.0,22,7.951841
17.0,17,7.977606
18.0,18,8.007909
13.0,13,8.015108
9.0,9,8.037369
18.0,18,8.047565
19.0,19,8.074576
25.0,25,8.08828
16.0,16,8.114989
17.0,17,8.139597
15.0,15,8.147911
12.0,12,8.171852
16.0,16,8.189208
15.0,15,8.202818
12.0,12,8.226492
12.0,12,8.233003
10.0,10,8.254782
11.0,11,8.26101
16.0,16,8.273725
20.0,20,8.306214
23.0,23,8.318835
11.0,11,8.34178
12.0,12,8.348437
17.0,17,8.373516
18.0,18,8.394508
12.0,12,8.411015
14.0,14,8.424167
21.0,21,8.456918
12.0,12,8.46354
12.0,12,8.486391
12.0,12,8.493023
30.0,30,8.525339
21.0,21,8.552933
11.0,11,8.559247
53.0,53,8.618884
22.0,22,8.637762
44.0,44,8.696567
13.0,13,8.703625
11.0,11,8.7246
13.0,13,8.73181
11.0,11,8.775984
10.0,10,8.781491
14.0,14,8.80515
35.0,35,8.8344
15.0,15,8.859554
14.0,14,8.867684
14.0,14,8.892257
9.0,9,8.897222
11.0,11,8.903238
18.0,18,8.929422
11.0,11,8.942675
26.0,26,8.974168
18.0,18,8.993023
21.0,21,9.004351
19.0,19,9.030941
14.0,14,9.054829
13.0,13,9.062103
12.0,12,9.088886
17.0,17,9.099666
15.0,15,9.121563
16.0,16,9.141185
25.0,25,9.168047
24.0,24,9.206175
9.0,9,9.211259
16.0,16,9.220021
12.0,12,9.242885
20.0,20,9.25488
11.0,11,9.275075
23.0,23,9.287517
14.0,14,9.313182
29.0,29,9.345389
39.0,39,9.382854
14.0,14,9.409811
17.0,17,9.418921
14.0,14,9.44289
15.0,15,9.450999
18.0,18,9.477095
35.0,35,9.514306
16.0,16,9.539099
13.0,13,9.546218
59.0,59,9.61729
11.0,11,9.623346
28.0,28,9.654806
11.0,11,9.667433
34.0,34,9.710952
15.0,15,9.718999
28.0,28,9.73415
32.0,32,9.751604
30.0,30,9.767959
12.0,12,9.774616
84.0,84,9.831197
11.0,11,9.837297
18.0,18,9.847087
12.0,12,9.853647
14.0,14,9.861509
20.0,20,9.872363
23.0,23,9.884816
21.0,21,9.910374
17.0,17,9.919744
15.0,15,9.931092
61.0,61,10.763719
14.0,14,10.771435
14.0,14,10.795403
30.0,30,10.825171
40.0,40,10.867471
14.0,14,10.891603
26.0,26,10.905846
26.0,26,10.933623
17.0,17,10.963429
13.0,13,10.970667
23.0,23,10.999647
62.0,62,11.068947
46.0,46,11.123821
18.0,18,11.138275
29.0,29,11.170317
17.0,17,11.209573
11.0,11,11.215976
10.0,10,11.221511
22.0,22,11.246072
17.0,17,11.275883
9.0,9,11.280985
24.0,24,11.313637
13.0,13,11.320749
15.0,15,11.345173
35.0,35,11.384012
23.0,23,11.396372
13.0,13,11.419653
35.0,35,11.455311
27.0,27,11.486372
19.0,19,11.513346
28.0,28,11.5342
27.0,27,11.548792
16.0,16,11.557453
18.0,18,11.567177
21.0,21,11.589101
18.0,18,11.598972
15.0,15,11.607236
45.0,45,11.631724
13.0,13,11.638804
13.0,13,11.645874
17.0,17,11.655359
9.0,9,11.660371
13.0,13,11.68375
24.0,24,11.713003
26.0,26,11.742358
28.0,28,11.77617
20.0,20,11.787001
10.0,10,11.81245
10.0,10,11.818004
13.0,13,11.842171
16.0,16,11.850958
52.0,52,11.898962
23.0,23,11.911388
35.0,35,11.930162
14.0,14,11.937753
18.0,18,11.947572
36.0,36,11.967067
12.0,12,11.973556
10.0,10,11.979141
34.0,34,11.997613
34.0,34,12.016014
17.0,17,12.024987
11.0,11,12.031062
20.0,20,12.042135
16.0,16,12.052331
15.0,15,12.060605
18.0,18,12.070509
20.0,20,12.112073
15.0,15,12.120812
14.0,14,12.133359
9.0,9,12.159185
22.0,22,12.172609
30.0,30,12.203476
40.0,40,12.256797
20.0,20,12.283939
15.0,15,12.292542
11.0,11,12.298696
22.0,22,12.341057
30.0,30,12.369787
14.0,14,12.391047
23.0,23,12.404976
19.0,19,12.431615
14.0,14,12.439235
30.0,30,12.502452
20.0,20,12.521582
23.0,23,12.548261
21.0,21,12.575974
22.0,22,12.587762
22.0,22,12.624524
19.0,19,12.648918
22.0,22,12.660939
16.0,16,12.685797
13.0,13,12.69291
21.0,21,12.705695
25.0,25,13.544036
17.0,17,13.553487
14.0,14,13.577647
11.0,11,13.58372
17.0,17,13.60947
10.0,10,13.615086
14.0,14,13.634929
11.0,11,13.657181
26.0,26,13.671543
15.0,15,13.6962
16.0,16,13.705071
14.0,14,13.712705
16.0,16,13.736791
11.0,11,13.759136
22.0,22,13.771139
18.0,18,13.797259
18.0,18,13.823342
20.0,20,13.834308
28.0,28,13.880952
23.0,23,13.895738
20.0,20,13.923086
19.0,19,13.946522
9.0,9,13.951598
9.0,9,13.956528
32.0,32,14.00657
9.0,9,14.011496
17.0,17,14.041045
14.0,14,14.048993
18.0,18,14.071188
20.0,20,14.082156
11.0,11,14.1042
16.0,16,14.112957
18.0,18,14.135317
31.0,31,14.168266
13.0,13,14.189663
19.0,19,14.200044
16.0,16,14.224863
34.0,34,14.278131
17.0,17,14.287629
15.0,15,14.295958
11.0,11,14.318355
27.0,27,14.353893
35.0,35,14.38923
9.0,9,14.421009
19.0,19,14.436965
11.0,11,14.44294
11.0,11,14.449058
15.0,15,14.457875
17.0,17,14.467196
11.0,11,14.473234
13.0,13,14.480332
15.0,15,14.488555
10.0,10,14.494287
15.0,15,14.502425
15.0,15,14.51051
11.0,11,14.516686
30.0,30,14.532698
27.0,27,14.547681
21.0,21,14.559464
15.0,15,14.567824
35.0,35,14.587636
18.0,18,14.59752
10.0,10,14.604465
13.0,13,14.616039
16.0,16,14.625513
13.0,13,14.645325
13.0,13,14.652479
22.0,22,14.68066
19.0,19,14.715132
11.0,11,14.72105
12.0,12,14.727642
20.0,20,14.751778
12.0,12,14.758273
24.0,24,14.771458
13.0,13,14.778541
37.0,37,14.798543
12.0,12,14.805078
25.0,25,14.818578
22.0,22,14.830309
42.0,42,14.852988
35.0,35,14.872056
23.0,23,14.900736
20.0,20,14.911606
21.0,21,14.939141
30.0,30,14.973386
42.0,42,15.027384
13.0,13,15.034583
17.0,17,15.060056
15.0,15,15.068255
9.0,9,15.073261
41.0,41,15.131937
18.0,18,15.158109
9.0,9,15.163016
9.0,9,15.167934
17.0,17,15.19027
21.0,21,15.218297
13.0,13,15.246086
27.0,27,15.285385
21.0,21,15.31319
15.0,15,15.321218
14.0,14,15.328664
21.0,21,15.356311
38.0,38,15.413451
28.0,28,15.428493
16.0,16,15.453381
16.0,16,15.47815
13.0,13,15.485204
18.0,18,15.511316
12.0,12,15.517937
26.0,26,15.548125
8.0,8,15.552492
21.0,21,16.46213
11.0,11,16.484183
14.0,14,16.506627
19.0,19,16.517067
28.0,28,16.541562
21.0,21,16.569481
13.0,13,16.592789
31.0,31,16.630204
17.0,17,16.639574
15.0,15,16.664147
35.0,35,16.700159
11.0,11,16.706249
15.0,15,16.730813
15.0,15,16.738996
41.0,41,16.793796
15.0,15,16.802039
34.0,34,16.853539
15.0,15,16.867805
20.0,20,16.878712
19.0,19,16.905385
15.0,15,16.929751
13.0,13,16.936993
17.0,17,16.962555
26.0,26,16.992968
13.0,13,17.000202
21.0,21,17.027975
21.0,21,17.039505
22.0,22,17.081444
15.0,15,17.089882
23.0,23,17.118963
13.0,13,17.126182
9.0,9,17.147614
23.0,23,17.169935
12.0,12,17.17657
15.0,15,17.201132
9.0,9,17.222379
13.0,13,17.229479
19.0,19,17.248241
37.0,37,17.307557
22.0,22,17.335783
24.0,24,17.365226
14.0,14,17.373416
18.0,18,17.399433
23.0,23,17.411928
13.0,13,17.435352
21.0,21,17.463073
19.0,19,17.47341
11.0,11,17.495606
25.0,25,17.525396
10.0,10,17.545408
16.0,16,17.554203
20.0,20,17.581326
