#{"t_start": 1707792798.1131709, "env_id": "CartPole-v1"}
r,l,t
11.0,11,6.225456
14.0,14,6.238309
12.0,12,6.244908
29.0,29,6.276674
12.0,12,7.101475
13.0,13,7.108678
16.0,16,7.136637
26.0,26,7.158252
18.0,18,7.183011
34.0,34,7.225408
14.0,14,7.233186
10.0,10,7.238511
12.0,12,7.263147
18.0,18,7.286413
16.0,16,7.298817
98.0,98,7.409309
9.0,9,7.418406
48.0,48,7.478615
34.0,34,7.520741
48.0,48,7.576841
31.0,31,7.615345
36.0,36,7.653489
27.0,27,7.682632
42.0,42,7.73177
57.0,57,7.78917
31.0,31,7.826383
21.0,21,7.854871
30.0,30,7.884413
20.0,20,7.912261
25.0,25,7.935704
27.0,27,7.967227
15.0,15,7.991594
32.0,32,8.022512
23.0,23,8.052339
15.0,15,8.060848
11.0,11,8.103971
18.0,18,8.113815
15.0,15,8.142275
14.0,14,8.149875
10.0,10,8.171428
22.0,22,8.199355
52.0,52,8.243652
12.0,12,8.250181
11.0,11,8.272621
22.0,22,8.284634
24.0,24,8.297649
9.0,9,8.302572
12.0,12,8.310287
18.0,18,8.320166
27.0,27,8.334898
43.0,43,8.357999
25.0,25,8.371563
20.0,20,8.38235
15.0,15,8.390593
19.0,19,8.400915
14.0,14,8.416834
10.0,10,8.422294
22.0,22,8.455744
63.0,63,8.522234
14.0,14,8.536368
9.0,9,8.541319
60.0,60,8.605938
14.0,14,8.63793
18.0,18,8.647745
47.0,47,8.702438
32.0,32,8.744207
26.0,26,8.774529
17.0,17,8.783503
44.0,44,8.840125
18.0,18,8.849816
26.0,26,8.880012
32.0,32,8.913437
21.0,21,8.93306
12.0,12,8.963731
12.0,12,8.970339
10.0,10,8.975645
15.0,15,8.99986
16.0,16,9.008531
26.0,26,9.039354
10.0,10,9.061181
15.0,15,9.069249
13.0,13,9.121883
21.0,21,9.147261
12.0,12,9.153825
16.0,16,9.166693
28.0,28,9.197952
14.0,14,9.218056
15.0,15,9.226146
20.0,20,9.260968
29.0,29,9.292667
16.0,16,9.301165
43.0,43,10.045339
32.0,32,10.082656
33.0,33,10.116633
15.0,15,10.124745
28.0,28,10.156066
32.0,32,10.189449
22.0,22,10.227736
69.0,69,10.316605
40.0,40,10.352955
12.0,12,10.364788
55.0,55,10.426706
20.0,20,10.437401
32.0,32,10.494963
13.0,13,10.502109
31.0,31,10.535017
91.0,91,10.584956
42.0,42,10.607719
63.0,63,10.641269
14.0,14,10.64877
44.0,44,10.672349
18.0,18,10.68189
20.0,20,10.705032
37.0,37,10.740933
18.0,18,10.792836
19.0,19,10.803314
32.0,32,10.820641
15.0,15,10.828865
36.0,36,10.848202
16.0,16,10.857415
32.0,32,10.874642
34.0,34,10.892916
11.0,11,10.898827
12.0,12,10.905385
40.0,40,10.935182
