#{"t_start": 1707792798.0732493, "env_id": "CartPole-v1"}
r,l,t
26.0,26,0.116759
41.0,41,0.163468
24.0,24,0.192661
17.0,17,0.216861
12.0,12,0.247503
17.0,17,0.256598
15.0,15,0.276927
13.0,13,0.308079
30.0,30,0.356343
21.0,21,0.39226
15.0,15,0.406218
32.0,32,0.439389
10.0,10,0.444762
13.0,13,0.468095
14.0,14,0.475892
12.0,12,0.498301
15.0,15,0.506309
17.0,17,0.531579
45.0,45,0.555285
26.0,26,0.569488
36.0,36,0.588044
23.0,23,0.599993
13.0,13,0.606835
21.0,21,0.61792
9.0,9,0.622783
22.0,22,0.634585
17.0,17,0.643688
13.0,13,0.650679
44.0,44,0.674646
36.0,36,0.694009
13.0,13,0.701496
23.0,23,0.713796
47.0,47,0.76589
11.0,11,0.771845
63.0,63,0.85869
14.0,14,0.866254
37.0,37,0.891166
21.0,21,0.902447
11.0,11,0.933724
16.0,16,0.981712
11.0,11,1.009563
28.0,28,1.041008
21.0,21,1.06054
29.0,29,1.096451
19.0,19,1.214571
36.0,36,1.249708
19.0,19,1.27296
24.0,24,1.285803
25.0,25,1.315466
29.0,29,1.347368
12.0,12,1.370479
17.0,17,1.379486
15.0,15,1.402568
14.0,14,1.410151
14.0,14,1.433989
20.0,20,1.460913
12.0,12,1.467385
16.0,16,1.481265
18.0,18,1.490934
15.0,15,1.515164
16.0,16,1.524389
14.0,14,1.565279
15.0,15,1.573332
17.0,17,1.598829
22.0,22,1.626652
15.0,15,1.634821
9.0,9,1.639621
29.0,29,1.671431
27.0,27,1.692135
27.0,27,1.72299
45.0,45,1.779502
19.0,19,1.79395
28.0,28,1.825238
11.0,11,1.847469
14.0,14,1.854961
29.0,29,1.887461
13.0,13,1.89451
54.0,54,1.947084
17.0,17,1.975648
14.0,14,1.997266
28.0,28,2.028646
13.0,13,2.036425
24.0,24,2.073505
23.0,23,2.085916
18.0,18,2.095501
17.0,17,2.104865
18.0,18,2.11439
20.0,20,2.125113
26.0,26,2.139811
51.0,51,2.167256
14.0,14,2.175018
15.0,15,2.191339
14.0,14,2.199125
18.0,18,2.20874
27.0,27,2.90014
8.0,8,2.906173
11.0,11,2.913417
17.0,17,2.92385
14.0,14,2.933025
25.0,25,2.948861
19.0,19,2.960006
31.0,31,2.979226
10.0,10,2.985574
30.0,30,3.00652
28.0,28,3.023107
19.0,19,3.034883
32.0,32,3.05351
10.0,10,3.059817
60.0,60,3.119976
16.0,16,3.136725
22.0,22,3.169872
41.0,41,3.211297
11.0,11,3.230048
56.0,56,3.261755
10.0,10,3.267186
15.0,15,3.27636
17.0,17,3.285888
25.0,25,3.301505
10.0,10,3.307098
27.0,27,3.322228
17.0,17,3.331771
26.0,26,3.346533
17.0,17,3.356066
24.0,24,3.369447
11.0,11,3.375553
26.0,26,3.391944
61.0,61,3.458372
13.0,13,3.46611
14.0,14,3.485736
22.0,22,3.526884
14.0,14,3.534897
20.0,20,3.547503
54.0,54,3.628598
16.0,16,3.645494
21.0,21,3.665658
13.0,13,3.675554
22.0,22,3.706253
18.0,18,3.730273
22.0,22,3.754193
17.0,17,3.775197
10.0,10,3.788872
21.0,21,3.816334
13.0,13,3.83124
12.0,12,3.844906
33.0,33,3.896698
29.0,29,3.9255
28.0,28,3.958481
14.0,14,3.975577
21.0,21,3.998653
60.0,60,4.074557
39.0,39,4.119657
23.0,23,4.141352
16.0,16,4.150289
14.0,14,4.158393
12.0,12,4.165216
15.0,15,4.174861
14.0,14,4.183158
20.0,20,4.194405
33.0,33,4.21324
16.0,16,4.222516
35.0,35,4.241764
10.0,10,4.247451
57.0,57,4.279347
35.0,35,4.298762
13.0,13,4.30597
33.0,33,4.324965
14.0,14,4.332671
26.0,26,4.347046
16.0,16,4.35576
30.0,30,4.372977
