#{"t_start": 1707792798.0741153, "env_id": "CartPole-v1"}
r,l,t
22.0,22,0.099291
19.0,19,0.118953
25.0,25,0.13311
33.0,33,0.151781
35.0,35,0.172748
10.0,10,0.178136
21.0,21,0.18982
13.0,13,0.197197
26.0,26,0.211869
20.0,20,0.222813
14.0,14,0.23039
13.0,13,0.237596
15.0,15,0.245741
15.0,15,0.254004
58.0,58,0.285947
14.0,14,0.293535
27.0,27,0.308128
19.0,19,0.318828
30.0,30,0.335174
20.0,20,0.34582
14.0,14,0.357416
38.0,38,0.402941
39.0,39,0.451382
18.0,18,0.473007
14.0,14,0.480649
15.0,15,0.498124
20.0,20,0.509333
23.0,23,0.522037
18.0,18,0.531794
21.0,21,0.543162
38.0,38,0.564451
14.0,14,0.571885
36.0,36,0.603256
17.0,17,0.613095
14.0,14,0.622241
9.0,9,0.627593
36.0,36,0.647235
14.0,14,0.655091
71.0,71,0.716241
13.0,13,0.725046
16.0,16,0.752208
13.0,13,0.759573
12.0,12,0.778705
12.0,12,0.794935
21.0,21,0.898409
15.0,15,0.917186
43.0,43,0.973466
21.0,21,0.997356
14.0,14,1.004988
20.0,20,1.025804
13.0,13,1.045427
35.0,35,1.125887
18.0,18,1.135458
18.0,18,1.15164
32.0,32,1.184045
11.0,11,1.202292
10.0,10,1.207824
27.0,27,1.259407
20.0,20,1.286682
10.0,10,1.29227
28.0,28,1.323707
15.0,15,1.331885
13.0,13,1.338916
14.0,14,1.346548
13.0,13,1.353528
22.0,22,1.366045
15.0,15,1.374166
15.0,15,1.382328
16.0,16,1.391166
19.0,19,1.401449
22.0,22,1.429645
16.0,16,1.454615
29.0,29,1.486637
25.0,25,1.500922
10.0,10,1.506384
14.0,14,1.51399
27.0,27,1.528478
18.0,18,1.538156
39.0,39,1.55944
33.0,33,1.577878
27.0,27,1.592628
16.0,16,1.601531
19.0,19,1.61202
10.0,10,1.617465
9.0,9,1.622446
25.0,25,1.635958
16.0,16,1.661566
23.0,23,1.690167
24.0,24,1.703502
13.0,13,1.726741
11.0,11,1.732769
30.0,30,1.765771
22.0,22,1.814398
30.0,30,1.846881
35.0,35,1.91142
16.0,16,1.920182
11.0,11,2.562778
13.0,13,2.570134
30.0,30,2.602969
37.0,37,2.639768
28.0,28,2.671556
15.0,15,2.696197
19.0,19,2.707315
24.0,24,2.720503
13.0,13,2.727686
32.0,32,2.745228
18.0,18,2.755147
20.0,20,2.766532
13.0,13,2.773616
16.0,16,2.782414
17.0,17,2.791687
12.0,12,2.798204
19.0,19,2.808508
21.0,21,2.820006
12.0,12,2.827543
36.0,36,2.863721
30.0,30,2.896456
25.0,25,2.9264
13.0,13,2.933586
37.0,37,2.983037
23.0,23,3.011914
15.0,15,3.020164
26.0,26,3.050612
24.0,24,3.063577
52.0,52,3.125007
27.0,27,3.156018
17.0,17,3.181499
24.0,24,3.211129
19.0,19,3.221342
10.0,10,3.243051
20.0,20,3.254108
13.0,13,3.277422
26.0,26,3.308274
23.0,23,3.33779
25.0,25,3.352042
25.0,25,3.381701
13.0,13,3.405003
14.0,14,3.412652
42.0,42,3.435391
14.0,14,3.45395
16.0,16,3.462867
10.0,10,3.468304
17.0,17,3.477705
31.0,31,3.494374
15.0,15,3.502502
14.0,14,3.510178
12.0,12,3.516677
26.0,26,3.531225
13.0,13,3.538417
18.0,18,3.548253
24.0,24,3.569402
13.0,13,3.576509
16.0,16,3.601574
22.0,22,3.629819
14.0,14,3.637442
26.0,26,3.680418
18.0,18,3.706437
12.0,12,3.713041
43.0,43,3.736326
39.0,39,3.757444
10.0,10,3.763016
28.0,28,3.778904
44.0,44,3.802723
17.0,17,3.8119
30.0,30,3.828418
23.0,23,3.841604
16.0,16,3.866681
54.0,54,3.912436
11.0,11,3.934727
21.0,21,3.946048
13.0,13,3.953178
20.0,20,3.980986
17.0,17,4.010652
10.0,10,4.016193
12.0,12,4.023114
17.0,17,4.032572
19.0,19,4.042908
31.0,31,4.059634
11.0,11,4.065672
12.0,12,4.072185
26.0,26,4.086223
15.0,15,4.095209
11.0,11,4.101413
22.0,22,4.113758
24.0,24,4.12737
50.0,50,4.171176
21.0,21,4.195738
40.0,40,4.25055
25.0,25,4.280221
17.0,17,4.28938
34.0,34,5.220173
31.0,31,5.253545
27.0,27,5.281648
51.0,51,5.338114
14.0,14,5.359653
40.0,40,5.398177
11.0,11,5.405129
27.0,27,5.436444
52.0,52,5.50613
28.0,28,5.530308
19.0,19,5.557059
48.0,48,5.600943
19.0,19,5.627819
11.0,11,5.650076
20.0,20,5.661096
16.0,16,5.686395
12.0,12,5.693083
10.0,10,5.714979
29.0,29,5.747224
20.0,20,5.7581
14.0,14,5.782057
22.0,22,5.810288
30.0,30,5.843982
9.0,9,5.848943
18.0,18,5.874868
16.0,16,5.883518
19.0,19,5.910147
17.0,17,5.919362
12.0,12,5.942334
22.0,22,5.970739
17.0,17,5.980246
11.0,11,6.002542
20.0,20,6.014215
11.0,11,6.036723
9.0,9,6.041781
18.0,18,6.06803
13.0,13,6.075274
14.0,14,6.083001
18.0,18,6.093035
39.0,39,6.114472
19.0,19,6.124943
19.0,19,6.135559
11.0,11,6.141653
12.0,12,6.148349
33.0,33,6.178212
35.0,35,6.197351
15.0,15,6.205649
11.0,11,6.211684
17.0,17,6.220966
28.0,28,6.236529
17.0,17,6.246018
16.0,16,6.254861
20.0,20,6.266552
23.0,23,6.295562
26.0,26,6.326057
19.0,19,6.344727
16.0,16,6.369918
11.0,11,6.375939
20.0,20,6.40317
20.0,20,6.430446
26.0,26,6.461023
17.0,17,6.471111
39.0,39,6.525018
26.0,26,6.555703
14.0,14,6.563446
28.0,28,6.595139
48.0,48,6.642247
31.0,31,6.676373
15.0,15,6.692919
11.0,11,6.715166
30.0,30,6.747702
18.0,18,6.757361
12.0,12,6.780313
20.0,20,6.807528
19.0,19,6.817954
22.0,22,6.846108
26.0,26,6.877091
12.0,12,6.883804
22.0,22,6.912139
13.0,13,6.935507
42.0,42,6.974993
13.0,13,6.99835
27.0,27,7.029365
18.0,18,7.039202
14.0,14,7.063122
41.0,41,7.102005
14.0,14,7.126168
41.0,41,7.16604
15.0,15,7.190908
12.0,12,7.224753
39.0,39,7.254715
18.0,18,7.280934
46.0,46,7.338585
28.0,28,7.370096
33.0,33,8.291204
28.0,28,8.322985
16.0,16,8.331826
9.0,9,8.33698
38.0,38,8.390326
40.0,40,8.428545
14.0,14,8.452585
14.0,14,8.461097
30.0,30,8.493823
10.0,10,8.515607
14.0,14,8.523435
21.0,21,8.551111
11.0,11,8.557152
15.0,15,8.581633
22.0,22,8.614038
14.0,14,8.621922
11.0,11,8.628025
18.0,18,8.654122
12.0,12,8.677764
40.0,40,8.707968
42.0,42,8.763524
15.0,15,8.771844
17.0,17,8.797528
29.0,29,8.829765
16.0,16,8.854816
33.0,33,8.890225
18.0,18,8.900215
17.0,17,8.925978
22.0,22,8.954319
16.0,16,8.979356
25.0,25,8.993106
12.0,12,9.015929
12.0,12,9.022527
27.0,27,9.053665
16.0,16,9.078715
16.0,16,9.088177
16.0,16,9.113277
30.0,30,9.14588
11.0,11,9.151923
11.0,11,9.174183
15.0,15,9.182339
17.0,17,9.207859
13.0,13,9.215001
21.0,21,9.253315
14.0,14,9.278095
14.0,14,9.285771
25.0,25,9.299355
33.0,33,9.317156
18.0,18,9.326923
30.0,30,9.343139
17.0,17,9.35235
19.0,19,9.362816
14.0,14,9.370579
71.0,71,9.426529
16.0,16,9.435513
40.0,40,9.473482
28.0,28,9.504836
25.0,25,9.534921
18.0,18,9.560987
16.0,16,9.585887
13.0,13,9.593194
19.0,19,9.619924
11.0,11,9.626019
22.0,22,9.655337
25.0,25,9.685141
27.0,27,9.708158
34.0,34,9.742987
18.0,18,9.752815
24.0,24,9.782123
37.0,37,9.83497
11.0,11,9.841124
12.0,12,9.848478
15.0,15,9.873057
72.0,72,9.944948
25.0,25,9.982825
11.0,11,10.005191
19.0,19,10.015633
18.0,18,10.041703
41.0,41,10.080408
11.0,11,10.102837
13.0,13,10.110033
20.0,20,10.138386
12.0,12,10.144865
31.0,31,10.19443
18.0,18,10.204277
13.0,13,10.227477
11.0,11,10.26052
20.0,20,10.271796
12.0,12,10.294721
15.0,15,10.302918
10.0,10,10.324619
34.0,34,10.359512
15.0,15,10.367794
20.0,20,10.394887
13.0,13,10.418308
10.0,10,10.423993
16.0,16,10.432667
15.0,15,10.457377
10.0,10,10.462976
21.0,21,11.374091
31.0,31,11.407624
12.0,12,11.414206
21.0,21,11.442051
20.0,20,11.469297
15.0,15,11.477602
28.0,28,11.509192
15.0,15,11.533575
10.0,10,11.539065
33.0,33,11.588589
12.0,12,11.595216
11.0,11,11.617586
10.0,10,11.623207
11.0,11,11.646774
42.0,42,11.686357
29.0,29,11.718792
26.0,26,11.733074
18.0,18,11.759247
17.0,17,11.784795
15.0,15,11.793018
14.0,14,11.800599
12.0,12,11.807183
17.0,17,11.816413
22.0,22,11.829302
17.0,17,11.838739
26.0,26,11.852829
22.0,22,11.864812
27.0,27,11.879493
11.0,11,11.885574
50.0,50,11.912883
17.0,17,11.946449
10.0,10,11.951988
12.0,12,11.974789
13.0,13,11.982013
11.0,11,11.988068
22.0,22,12.01781
14.0,14,12.038475
26.0,26,12.069152
12.0,12,12.075817
13.0,13,12.099335
13.0,13,12.106603
16.0,16,12.131591
32.0,32,12.192772
18.0,18,12.202688
15.0,15,12.227209
25.0,25,12.257191
23.0,23,12.283878
23.0,23,12.296412
17.0,17,12.321873
35.0,35,12.35701
30.0,30,12.389789
11.0,11,12.395813
10.0,10,12.401357
14.0,14,12.425415
12.0,12,12.432073
43.0,43,12.488332
13.0,13,12.496679
12.0,12,12.519569
27.0,27,12.550677
9.0,9,12.555588
9.0,9,12.560508
19.0,19,12.587081
18.0,18,12.613195
20.0,20,12.624162
11.0,11,12.646447
22.0,22,12.674902
10.0,10,12.680507
22.0,22,12.709001
9.0,9,12.713912
20.0,20,12.741065
28.0,28,12.772945
15.0,15,12.781224
17.0,17,12.806811
11.0,11,12.812874
18.0,18,12.840917
21.0,21,12.860865
15.0,15,12.877353
11.0,11,12.891748
14.0,14,12.899261
34.0,34,12.958007
12.0,12,12.965133
11.0,11,12.971227
9.0,9,12.992399
11.0,11,12.998429
39.0,39,13.035993
12.0,12,13.058986
12.0,12,13.065541
12.0,12,13.072104
13.0,13,13.095715
48.0,48,13.154727
12.0,12,13.161322
21.0,21,13.18925
14.0,14,13.19686
17.0,17,13.222581
22.0,22,13.250869
15.0,15,13.272363
25.0,25,13.314259
16.0,16,13.33958
20.0,20,13.366825
16.0,16,13.375685
12.0,12,13.398636
14.0,14,13.406532
11.0,11,13.41261
12.0,12,13.43542
15.0,15,13.443754
9.0,9,13.464983
15.0,15,13.473206
25.0,25,13.502982
14.0,14,13.526801
15.0,15,13.535154
32.0,32,13.568401
13.0,13,14.4733
22.0,22,14.485337
12.0,12,14.50743
32.0,32,14.541232
15.0,15,14.565786
16.0,16,14.574512
13.0,13,14.598294
26.0,26,14.628835
16.0,16,14.637585
31.0,31,14.670789
19.0,19,14.697289
42.0,42,14.74444
11.0,11,14.750576
27.0,27,14.781837
16.0,16,14.804917
26.0,26,14.835659
34.0,34,14.872384
25.0,25,14.90217
15.0,15,14.910398
23.0,23,14.939357
51.0,51,14.999656
42.0,42,15.038913
14.0,14,15.062964
20.0,20,15.090284
18.0,18,15.100536
18.0,18,15.126676
16.0,16,15.151817
12.0,12,15.158535
38.0,38,15.207822
26.0,26,15.23843
19.0,19,15.250072
12.0,12,15.256727
22.0,22,15.294801
25.0,25,15.324934
13.0,13,15.359304
29.0,29,15.391945
17.0,17,15.409398
12.0,12,15.420237
11.0,11,15.434519
17.0,17,15.451901
25.0,25,15.487003
29.0,29,15.527503
26.0,26,15.558225
26.0,26,15.588677
12.0,12,15.595309
20.0,20,15.622675
21.0,21,15.650474
16.0,16,15.659349
25.0,25,15.689309
21.0,21,15.717059
19.0,19,15.727406
16.0,16,15.752598
14.0,14,15.778628
14.0,14,15.786595
32.0,32,15.820477
10.0,10,15.842315
19.0,19,15.853096
9.0,9,15.874259
12.0,12,15.881077
14.0,14,15.888574
21.0,21,15.91635
21.0,21,15.940647
29.0,29,15.965974
16.0,16,15.991074
26.0,26,16.005255
16.0,16,16.040982
17.0,17,16.050315
34.0,34,16.085398
18.0,18,16.111862
16.0,16,16.12059
20.0,20,16.147722
14.0,14,16.156865
20.0,20,16.196229
21.0,21,16.224123
13.0,13,16.231307
12.0,12,16.254074
11.0,11,16.26002
28.0,28,16.291515
24.0,24,16.321017
24.0,24,16.353368
14.0,14,16.361927
13.0,13,16.379562
19.0,19,16.402031
17.0,17,16.414123
12.0,12,16.420708
11.0,11,16.428728
16.0,16,16.438383
11.0,11,16.444627
14.0,14,16.466361
28.0,28,16.492973
12.0,12,16.511583
15.0,15,16.519946
21.0,21,16.545292
10.0,10,16.563295
18.0,18,16.582628
33.0,33,16.619625
23.0,23,16.661897
17.0,17,16.671591
19.0,19,16.692293
28.0,28,16.707941
14.0,14,16.715689
16.0,16,16.724414
21.0,21,16.736124
12.0,12,17.429081
17.0,17,17.438702
18.0,18,17.459912
12.0,12,17.46642
13.0,13,17.484826
22.0,22,17.5081
16.0,16,17.528228
13.0,13,17.535145
11.0,11,17.55383
11.0,11,17.559797
