#{"t_start": 1707792798.113545, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.064601
15.0,15,0.087373
10.0,10,0.092762
53.0,53,0.154227
16.0,16,0.172007
23.0,23,0.184314
52.0,52,0.257401
25.0,25,0.277387
15.0,15,0.285529
84.0,84,0.331701
30.0,30,0.348164
12.0,12,0.354584
12.0,12,0.361078
13.0,13,0.368104
27.0,27,0.383143
23.0,23,0.396036
18.0,18,0.405776
17.0,17,0.440433
18.0,18,0.461107
21.0,21,0.489275
25.0,25,0.503094
20.0,20,0.524891
25.0,25,0.538431
10.0,10,0.544048
11.0,11,0.550563
38.0,38,0.571436
44.0,44,0.595531
13.0,13,0.602892
27.0,27,0.617671
22.0,22,0.629718
15.0,15,0.637757
29.0,29,0.653382
29.0,29,0.669739
12.0,12,0.675974
20.0,20,0.686323
16.0,16,0.709674
26.0,26,0.727265
24.0,24,0.756252
26.0,26,0.788844
32.0,32,0.806095
37.0,37,0.859289
40.0,40,0.991976
24.0,24,1.022069
54.0,54,1.08181
19.0,19,1.105167
30.0,30,1.122643
9.0,9,1.127645
17.0,17,1.137614
41.0,41,1.159789
16.0,16,1.168546
13.0,13,1.175483
22.0,22,1.18737
16.0,16,1.196383
24.0,24,1.209929
26.0,26,1.224205
10.0,10,1.229707
22.0,22,1.241635
15.0,15,1.250118
10.0,10,1.255633
12.0,12,1.262318
17.0,17,1.27145
14.0,14,1.279029
15.0,15,1.295296
39.0,39,1.343337
66.0,66,1.411713
40.0,40,1.433293
28.0,28,1.449346
11.0,11,1.455395
15.0,15,1.463855
27.0,27,1.4786
24.0,24,1.491664
30.0,30,1.508147
33.0,33,1.526505
22.0,22,1.538505
19.0,19,1.54895
12.0,12,1.555597
20.0,20,1.592087
18.0,18,1.602108
26.0,26,1.63433
14.0,14,1.646009
13.0,13,1.653829
11.0,11,1.675873
53.0,53,1.731226
35.0,35,1.793749
40.0,40,2.708995
13.0,13,2.716251
27.0,27,2.731097
35.0,35,2.750365
13.0,13,2.75761
34.0,34,2.776287
12.0,12,2.783049
20.0,20,2.818886
28.0,28,2.837515
19.0,19,2.862916
10.0,10,2.868504
17.0,17,2.898197
51.0,51,2.953615
19.0,19,2.977583
17.0,17,2.987559
23.0,23,3.020498
22.0,22,3.040355
16.0,16,3.060428
37.0,37,3.101027
13.0,13,3.124047
27.0,27,3.150082
17.0,17,3.172759
14.0,14,3.195219
23.0,23,3.20806
19.0,19,3.234939
36.0,36,3.275619
30.0,30,3.305956
15.0,15,3.314098
14.0,14,3.334883
21.0,21,3.375351
23.0,23,3.388667
12.0,12,3.403226
18.0,18,3.425034
14.0,14,3.44448
16.0,16,3.459977
13.0,13,3.473998
18.0,18,3.492935
10.0,10,3.510759
47.0,47,3.553423
33.0,33,3.593205
18.0,18,3.622463
15.0,15,3.630621
17.0,17,3.639758
15.0,15,3.663886
16.0,16,3.690504
38.0,38,3.751302
16.0,16,3.772936
35.0,35,3.81224
33.0,33,3.846272
14.0,14,3.854111
19.0,19,3.890561
17.0,17,3.900048
10.0,10,3.905539
18.0,18,3.930688
17.0,17,3.950617
15.0,15,3.962664
14.0,14,3.98262
12.0,12,3.989155
19.0,19,4.02403
15.0,15,4.032301
15.0,15,4.057842
18.0,18,4.067699
25.0,25,4.089416
25.0,25,4.116745
19.0,19,4.151252
17.0,17,4.173826
10.0,10,4.192739
10.0,10,4.198308
11.0,11,4.204579
17.0,17,4.213861
20.0,20,4.252906
10.0,10,4.274896
13.0,13,4.282205
50.0,50,4.326767
11.0,11,4.346997
13.0,13,4.354424
12.0,12,4.374835
20.0,20,4.398869
10.0,10,4.405575
37.0,37,4.452216
13.0,13,4.471773
11.0,11,4.477875
23.0,23,4.498304
29.0,29,4.528181
42.0,42,4.573022
29.0,29,4.608168
13.0,13,4.63027
13.0,13,4.63752
33.0,33,4.681956
12.0,12,4.688612
32.0,32,4.7445
17.0,17,4.75396
19.0,19,4.780786
15.0,15,4.789174
19.0,19,4.815889
18.0,18,4.834722
21.0,21,4.882474
33.0,33,4.925567
9.0,9,4.930648
13.0,13,4.937834
15.0,15,4.946086
18.0,18,4.984425
14.0,14,5.719758
25.0,25,5.749453
22.0,22,5.777656
14.0,14,5.785196
21.0,21,5.812647
17.0,17,5.821666
15.0,15,5.846129
17.0,17,5.85523
69.0,69,5.944684
35.0,35,5.990337
28.0,28,6.014328
14.0,14,6.021818
80.0,80,6.06882
26.0,26,6.083107
43.0,43,6.107609
12.0,12,6.114582
24.0,24,6.12872
21.0,21,6.140946
15.0,15,6.14935
12.0,12,6.155735
13.0,13,6.1631
