#{"t_start": 1707792798.0087714, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.055321
16.0,16,0.065266
15.0,15,0.07333
12.0,12,0.090962
19.0,19,0.10202
17.0,17,0.135271
19.0,19,0.14644
13.0,13,0.178394
15.0,15,0.186553
31.0,31,0.271585
23.0,23,0.300425
11.0,11,0.314918
21.0,21,0.326303
15.0,15,0.350708
15.0,15,0.358753
20.0,20,0.385879
13.0,13,0.41717
25.0,25,0.453526
67.0,67,0.54634
15.0,15,0.554848
12.0,12,0.57948
19.0,19,0.589701
15.0,15,0.615997
17.0,17,0.625208
26.0,26,0.656172
27.0,27,0.687333
41.0,41,0.725526
12.0,12,0.748193
12.0,12,0.754419
11.0,11,0.776763
17.0,17,0.786141
25.0,25,0.82916
36.0,36,0.857435
33.0,33,0.905745
16.0,16,0.916492
26.0,26,0.94417
14.0,14,0.9648
34.0,34,1.00005
32.0,32,1.047687
19.0,19,1.058039
15.0,15,1.08267
20.0,20,1.099516
24.0,24,1.129713
37.0,37,1.166778
13.0,13,1.173718
13.0,13,1.210498
13.0,13,1.218164
10.0,10,1.223705
42.0,42,1.35361
20.0,20,1.374242
21.0,21,1.397916
11.0,11,1.403852
21.0,21,1.415723
19.0,19,1.426211
38.0,38,1.448142
11.0,11,1.454221
29.0,29,1.471013
18.0,18,1.494786
54.0,54,1.553004
24.0,24,1.572827
11.0,11,1.592703
13.0,13,1.603855
13.0,13,1.625385
35.0,35,1.67794
12.0,12,1.684551
25.0,25,1.701139
9.0,9,1.706093
20.0,20,1.748198
14.0,14,1.755815
18.0,18,1.781012
24.0,24,1.810363
14.0,14,1.818338
15.0,15,1.826501
16.0,16,1.851938
13.0,13,1.859041
25.0,25,1.889912
11.0,11,1.911921
26.0,26,1.925992
11.0,11,1.955759
18.0,18,1.976434
17.0,17,1.999361
82.0,82,2.084139
9.0,9,2.089148
35.0,35,2.148542
21.0,21,2.165701
14.0,14,2.173329
20.0,20,2.204476
44.0,44,2.255187
39.0,39,2.305912
27.0,27,2.337302
14.0,14,2.362235
20.0,20,2.373555
16.0,16,2.395831
12.0,12,2.432519
13.0,13,2.455756
34.0,34,3.434185
21.0,21,3.4616
13.0,13,3.468991
11.0,11,3.494984
27.0,27,3.51046
36.0,36,3.545489
62.0,62,3.57981
23.0,23,3.592039
17.0,17,3.601562
25.0,25,3.617623
22.0,22,3.629802
26.0,26,3.643641
18.0,18,3.654229
22.0,22,3.668251
18.0,18,3.67784
25.0,25,3.69171
13.0,13,3.699003
18.0,18,3.709334
52.0,52,3.767793
15.0,15,3.796422
13.0,13,3.803577
20.0,20,3.830922
48.0,48,3.880144
24.0,24,3.893126
17.0,17,3.902832
16.0,16,3.911477
14.0,14,3.919679
14.0,14,3.927168
16.0,16,3.936022
16.0,16,3.944728
34.0,34,3.963449
19.0,19,3.973459
37.0,37,3.994175
12.0,12,4.000908
107.0,107,4.115192
18.0,18,4.135705
24.0,24,4.176056
25.0,25,4.206916
14.0,14,4.26273
11.0,11,4.270031
24.0,24,4.299879
29.0,29,4.323986
23.0,23,4.354464
18.0,18,4.364233
12.0,12,4.370899
20.0,20,4.382555
13.0,13,4.389673
24.0,24,4.40275
27.0,27,4.417245
31.0,31,4.434076
23.0,23,4.446422
11.0,11,4.452617
12.0,12,4.459893
46.0,46,4.486025
34.0,34,4.50478
13.0,13,4.511917
14.0,14,4.535975
18.0,18,4.545803
35.0,35,4.597679
22.0,22,4.609796
12.0,12,4.633806
11.0,11,4.639728
