#{"t_start": 1707792798.1331854, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.099472
11.0,11,0.106167
21.0,21,0.141869
13.0,13,0.165267
13.0,13,0.188598
12.0,12,0.195139
17.0,17,0.220915
23.0,23,0.233245
19.0,19,0.259622
12.0,12,0.266057
49.0,49,0.309001
46.0,46,0.333467
43.0,43,0.356764
13.0,13,0.363672
15.0,15,0.371651
52.0,52,0.399301
27.0,27,0.414019
28.0,28,0.42893
28.0,28,0.443879
12.0,12,0.450263
32.0,32,0.500382
34.0,34,0.523167
46.0,46,0.56791
16.0,16,0.593134
11.0,11,0.598988
13.0,13,0.624693
16.0,16,0.645537
23.0,23,0.669093
26.0,26,0.689268
25.0,25,0.725721
22.0,22,0.748846
9.0,9,0.753705
20.0,20,0.785488
15.0,15,0.793429
28.0,28,0.830678
10.0,10,0.843525
10.0,10,0.852995
16.0,16,0.873932
15.0,15,0.892505
16.0,16,0.904655
45.0,45,0.95279
11.0,11,0.976945
34.0,34,1.014385
28.0,28,1.064988
38.0,38,1.202515
14.0,14,1.209979
23.0,23,1.233712
33.0,33,1.275238
38.0,38,1.313156
16.0,16,1.353045
11.0,11,1.366086
40.0,40,1.404988
17.0,17,1.425587
25.0,25,1.45137
23.0,23,1.48272
30.0,30,1.510731
18.0,18,1.553277
15.0,15,1.564014
35.0,35,1.603506
33.0,33,1.641105
54.0,54,1.704738
14.0,14,1.723591
34.0,34,1.742343
13.0,13,1.74959
17.0,17,1.758914
41.0,41,1.781318
31.0,31,1.798109
14.0,14,1.806487
25.0,25,1.819732
13.0,13,1.826985
18.0,18,1.836666
17.0,17,1.846267
13.0,13,1.853446
21.0,21,1.865177
10.0,10,1.870649
11.0,11,1.876713
50.0,50,1.90489
10.0,10,1.922214
38.0,38,1.943695
15.0,15,1.952051
12.0,12,1.95863
19.0,19,1.969292
16.0,16,1.978095
16.0,16,1.987896
16.0,16,1.996765
15.0,15,2.005353
13.0,13,2.012405
39.0,39,2.087492
15.0,15,2.102756
59.0,59,3.056679
28.0,28,3.08824
21.0,21,3.116015
15.0,15,3.124085
23.0,23,3.152887
34.0,34,3.18485
15.0,15,3.209398
28.0,28,3.225677
13.0,13,3.232783
28.0,28,3.248057
21.0,21,3.259821
22.0,22,3.27188
17.0,17,3.281229
17.0,17,3.29074
15.0,15,3.298941
25.0,25,3.312556
11.0,11,3.319223
9.0,9,3.32427
11.0,11,3.330328
32.0,32,3.347802
17.0,17,3.356942
12.0,12,3.379685
69.0,69,3.449464
15.0,15,3.473869
14.0,14,3.481488
13.0,13,3.497572
12.0,12,3.520498
15.0,15,3.528786
14.0,14,3.552782
11.0,11,3.558786
19.0,19,3.585509
13.0,13,3.592662
11.0,11,3.598687
14.0,14,3.6063
18.0,18,3.632255
23.0,23,3.660923
22.0,22,3.672983
15.0,15,3.698345
11.0,11,3.704495
21.0,21,3.732278
15.0,15,3.756738
15.0,15,3.764962
17.0,17,3.794537
9.0,9,3.799488
19.0,19,3.826101
22.0,22,3.838081
21.0,21,3.865902
17.0,17,3.899468
10.0,10,3.904936
33.0,33,3.96296
16.0,16,3.971845
9.0,9,3.997156
10.0,10,4.002761
25.0,25,4.032705
15.0,15,4.041245
13.0,13,4.057127
9.0,9,4.062156
21.0,21,4.097905
28.0,28,4.129605
20.0,20,4.156843
55.0,55,4.217974
22.0,22,4.246222
18.0,18,4.272468
14.0,14,4.280087
13.0,13,4.3035
10.0,10,4.309034
18.0,18,4.33514
11.0,11,4.341199
12.0,12,4.363995
41.0,41,4.403506
45.0,45,4.460435
13.0,13,4.467602
13.0,13,4.490942
15.0,15,4.49922
32.0,32,4.533182
15.0,15,4.557954
15.0,15,4.567308
25.0,25,4.597369
21.0,21,4.625253
19.0,19,4.651951
31.0,31,4.68574
23.0,23,4.698356
12.0,12,4.721379
10.0,10,4.726965
12.0,12,4.749934
25.0,25,4.780869
36.0,36,4.816838
19.0,19,4.843508
29.0,29,4.875748
17.0,17,4.885152
11.0,11,4.907481
11.0,11,4.913401
25.0,25,4.943337
22.0,22,4.972503
20.0,20,4.983454
38.0,38,5.036718
20.0,20,5.047999
13.0,13,5.071507
68.0,68,5.157531
15.0,15,5.182179
11.0,11,5.188336
31.0,31,5.229097
29.0,29,6.143828
13.0,13,6.167227
20.0,20,6.193583
19.0,19,6.212185
31.0,31,6.245707
29.0,29,6.274173
15.0,15,6.290621
23.0,23,6.319549
27.0,27,6.351647
9.0,9,6.356657
8.0,8,6.361168
14.0,14,6.385466
20.0,20,6.396597
56.0,56,6.459827
41.0,41,6.515054
20.0,20,6.534464
52.0,52,6.604804
23.0,23,6.625915
43.0,43,6.673826
17.0,17,6.699398
16.0,16,6.708167
27.0,27,6.739171
16.0,16,6.76432
18.0,18,6.774976
15.0,15,6.799499
13.0,13,6.80658
