#{"t_start": 1707792798.0774782, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.092693
24.0,24,0.158635
22.0,22,0.182698
10.0,10,0.212428
36.0,36,0.248485
16.0,16,0.261053
21.0,21,0.292442
22.0,22,0.328629
50.0,50,0.388382
21.0,21,0.423841
20.0,20,0.462843
12.0,12,0.469343
16.0,16,0.477994
13.0,13,0.501529
11.0,11,0.507539
12.0,12,0.53023
16.0,16,0.538827
24.0,24,0.568063
14.0,14,0.591797
13.0,13,0.599394
25.0,25,0.629037
38.0,38,0.665823
12.0,12,0.6886
28.0,28,0.720412
13.0,13,0.727581
19.0,19,0.753964
21.0,21,0.765092
32.0,32,0.814657
24.0,24,0.828234
11.0,11,0.850662
25.0,25,0.880546
34.0,34,0.915125
25.0,25,0.941225
14.0,14,0.956872
15.0,15,0.964798
44.0,44,1.004923
40.0,40,1.068964
24.0,24,1.081397
20.0,20,1.107901
39.0,39,1.14227
11.0,11,1.164561
22.0,22,1.192775
20.0,20,1.20356
20.0,20,1.230849
17.0,17,1.25544
16.0,16,1.264059
23.0,23,1.384426
30.0,30,1.400491
21.0,21,1.428072
17.0,17,1.453532
16.0,16,1.462214
18.0,18,1.492134
13.0,13,1.499101
25.0,25,1.529489
19.0,19,1.556001
22.0,22,1.584197
20.0,20,1.595143
12.0,12,1.617948
13.0,13,1.624891
20.0,20,1.651798
32.0,32,1.68537
13.0,13,1.693151
17.0,17,1.714608
34.0,34,1.749156
17.0,17,1.77875
34.0,34,1.813418
32.0,32,1.843007
20.0,20,1.870489
32.0,32,1.903984
16.0,16,1.912545
31.0,31,1.94552
28.0,28,1.988962
45.0,45,2.045814
63.0,63,2.107496
40.0,40,2.161652
15.0,15,2.170099
40.0,40,2.215681
20.0,20,2.231766
15.0,15,2.242838
35.0,35,2.278056
19.0,19,2.304819
15.0,15,2.313063
14.0,14,2.33721
17.0,17,2.360652
25.0,25,2.390448
41.0,41,2.429264
18.0,18,2.455348
18.0,18,2.509252
9.0,9,2.514265
15.0,15,2.538861
9.0,9,2.544053
32.0,32,3.344335
11.0,11,3.350267
15.0,15,3.366539
36.0,36,3.40199
29.0,29,3.43444
52.0,52,3.494674
13.0,13,3.501685
11.0,11,3.523717
28.0,28,3.555494
12.0,12,3.561927
23.0,23,3.590702
26.0,26,3.621086
21.0,21,3.648666
21.0,21,3.660007
14.0,14,3.684713
21.0,21,3.716376
22.0,22,3.744659
16.0,16,3.753426
14.0,14,3.777188
10.0,10,3.782645
43.0,43,3.822039
41.0,41,3.877152
27.0,27,3.907944
29.0,29,3.939833
12.0,12,3.946471
23.0,23,3.975467
16.0,16,4.000549
35.0,35,4.035543
29.0,29,4.067333
12.0,12,4.073906
15.0,15,4.098485
21.0,21,4.110137
18.0,18,4.136163
18.0,18,4.145922
29.0,29,4.177999
13.0,13,4.19761
16.0,16,4.223326
21.0,21,4.234849
25.0,25,4.264538
20.0,20,4.291599
22.0,22,4.319713
15.0,15,4.3284
28.0,28,4.359551
21.0,21,4.41997
24.0,24,4.449604
42.0,42,4.488722
17.0,17,4.51398
29.0,29,4.545567
21.0,21,4.557704
16.0,16,4.582791
12.0,12,4.589577
18.0,18,4.615771
20.0,20,4.642897
13.0,13,4.649975
9.0,9,4.671162
33.0,33,4.705346
26.0,26,4.735829
15.0,15,4.745148
21.0,21,4.772979
36.0,36,4.808718
20.0,20,4.835859
19.0,19,4.846131
25.0,25,4.875896
29.0,29,4.907808
29.0,29,4.940444
15.0,15,4.965065
21.0,21,4.976488
10.0,10,5.010225
9.0,9,5.015236
16.0,16,5.040239
20.0,20,5.051209
14.0,14,5.075131
14.0,14,5.082706
31.0,31,5.117086
40.0,40,5.171893
31.0,31,5.205055
16.0,16,5.213696
20.0,20,5.24085
37.0,37,5.285464
