#{"t_start": 1707792797.9515615, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.036772
34.0,34,0.05692
19.0,19,0.067961
108.0,108,0.171
27.0,27,0.185864
10.0,10,0.191345
11.0,11,0.211474
25.0,25,0.22697
22.0,22,0.255322
14.0,14,0.276427
18.0,18,0.314886
14.0,14,0.322376
15.0,15,0.350705
51.0,51,0.418904
10.0,10,0.440473
46.0,46,0.489462
12.0,12,0.540174
16.0,16,0.573585
31.0,31,0.602834
23.0,23,0.631358
15.0,15,0.639491
22.0,22,0.667486
22.0,22,0.688008
13.0,13,0.69506
21.0,21,0.722733
15.0,15,0.751033
28.0,28,0.782563
9.0,9,0.787956
21.0,21,0.81155
42.0,42,0.85023
16.0,16,0.875115
38.0,38,0.912059
12.0,12,0.93076
18.0,18,0.940497
16.0,16,0.965501
13.0,13,0.972717
16.0,16,1.006052
8.0,8,1.010346
25.0,25,1.039953
14.0,14,1.047454
11.0,11,1.069764
16.0,16,1.078748
20.0,20,1.094499
11.0,11,1.116507
12.0,12,1.123195
24.0,24,1.23681
21.0,21,1.268747
24.0,24,1.290559
21.0,21,1.301916
34.0,34,1.352622
15.0,15,1.361242
10.0,10,1.366595
18.0,18,1.392979
37.0,37,1.427863
13.0,13,1.450721
12.0,12,1.456842
18.0,18,1.482911
54.0,54,1.542045
17.0,17,1.567458
15.0,15,1.575591
32.0,32,1.617866
19.0,19,1.628749
9.0,9,1.649934
17.0,17,1.659201
23.0,23,1.687951
21.0,21,1.699262
21.0,21,1.710558
14.0,14,1.718848
24.0,24,1.731892
15.0,15,1.740026
15.0,15,1.748139
25.0,25,1.761513
30.0,30,1.777715
17.0,17,1.787484
17.0,17,1.796565
10.0,10,1.802104
17.0,17,1.811286
24.0,24,1.824154
23.0,23,1.852968
13.0,13,1.859983
16.0,16,1.885386
35.0,35,1.920474
12.0,12,1.926916
27.0,27,1.9578
29.0,29,1.973625
24.0,24,1.986639
15.0,15,1.994512
17.0,17,2.003661
13.0,13,2.010612
13.0,13,2.017577
17.0,17,2.026649
15.0,15,2.035213
24.0,24,2.04804
19.0,19,2.058428
15.0,15,2.066585
13.0,13,2.082079
17.0,17,2.091484
22.0,22,2.127552
21.0,21,2.714924
44.0,44,2.739036
22.0,22,2.751058
55.0,55,2.781633
37.0,37,2.80182
22.0,22,2.813743
9.0,9,2.818722
38.0,38,2.839931
41.0,41,2.878661
27.0,27,2.89373
34.0,34,2.92858
28.0,28,2.96044
16.0,16,2.985527
19.0,19,2.996531
41.0,41,3.018947
17.0,17,3.028325
40.0,40,3.049978
13.0,13,3.057585
14.0,14,3.065366
17.0,17,3.074598
18.0,18,3.084484
19.0,19,3.094851
19.0,19,3.105189
14.0,14,3.112887
40.0,40,3.135067
15.0,15,3.143265
20.0,20,3.17047
62.0,62,3.223124
36.0,36,3.259037
19.0,19,3.285882
15.0,15,3.294985
23.0,23,3.307564
32.0,32,3.324968
26.0,26,3.339041
43.0,43,3.362697
18.0,18,3.403801
20.0,20,3.41482
10.0,10,3.436589
13.0,13,3.44375
74.0,74,3.521969
23.0,23,3.550683
21.0,21,3.562001
47.0,47,3.635154
34.0,34,3.66963
17.0,17,3.678849
14.0,14,3.692379
18.0,18,3.714423
16.0,16,3.723234
17.0,17,3.760669
18.0,18,3.771142
16.0,16,3.793949
20.0,20,3.81725
12.0,12,3.823764
26.0,26,3.853775
16.0,16,3.878672
14.0,14,3.889861
18.0,18,3.899732
33.0,33,3.938275
15.0,15,3.962607
31.0,31,3.993637
30.0,30,4.026013
26.0,26,4.05615
64.0,64,4.123111
17.0,17,4.149476
14.0,14,4.157104
46.0,46,4.199823
12.0,12,4.222938
12.0,12,4.229466
25.0,25,4.259352
20.0,20,4.304351
23.0,23,4.317028
57.0,57,4.364033
23.0,23,4.406524
19.0,19,4.43382
26.0,26,4.448061
43.0,43,4.524655
60.0,60,4.604206
10.0,10,4.609753
18.0,18,5.512893
31.0,31,5.546232
12.0,12,5.569227
11.0,11,5.575416
23.0,23,5.595455
31.0,31,5.628801
32.0,32,5.662676
16.0,16,5.687874
36.0,36,5.741233
20.0,20,5.752366
15.0,15,5.776907
52.0,52,5.823155
43.0,43,5.846956
13.0,13,5.854284
11.0,11,5.860516
15.0,15,5.868788
10.0,10,5.874299
23.0,23,5.886842
34.0,34,5.90607
62.0,62,5.939878
11.0,11,5.962058
18.0,18,5.971969
16.0,16,5.996951
19.0,19,6.007261
31.0,31,6.056766
34.0,34,6.092312
35.0,35,6.119915
15.0,15,6.12822
27.0,27,6.159179
14.0,14,6.18299
12.0,12,6.20216
14.0,14,6.209751
31.0,31,6.243093
10.0,10,6.248585
14.0,14,6.272382
19.0,19,6.28355
13.0,13,6.307072
67.0,67,6.382882
10.0,10,6.436446
66.0,66,6.504561
34.0,34,6.539174
14.0,14,6.56298
37.0,37,6.599188
