#{"t_start": 1707792797.9921756, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.058872
25.0,25,0.074738
14.0,14,0.082748
19.0,19,0.093704
13.0,13,0.101401
15.0,15,0.11122
20.0,20,0.122518
42.0,42,0.145491
13.0,13,0.152666
14.0,14,0.161117
12.0,12,0.168264
10.0,10,0.173878
13.0,13,0.181725
31.0,31,0.198791
13.0,13,0.20588
26.0,26,0.22121
13.0,13,0.228423
22.0,22,0.240281
21.0,21,0.252553
10.0,10,0.258108
32.0,32,0.276142
12.0,12,0.282746
15.0,15,0.311085
10.0,10,0.316794
15.0,15,0.325049
38.0,38,0.370372
19.0,19,0.392901
37.0,37,0.441216
11.0,11,0.459761
14.0,14,0.467337
42.0,42,0.530411
20.0,20,0.541471
10.0,10,0.550393
58.0,58,0.628715
19.0,19,0.640635
21.0,21,0.665163
12.0,12,0.687875
35.0,35,0.723307
27.0,27,0.746131
26.0,26,0.776967
12.0,12,0.783641
28.0,28,0.814895
16.0,16,0.823402
24.0,24,0.836748
22.0,22,0.848638
29.0,29,0.864441
16.0,16,0.873086
10.0,10,0.878606
14.0,14,0.92898
14.0,14,0.936791
12.0,12,0.943338
42.0,42,0.998566
32.0,32,1.030721
21.0,21,1.051083
24.0,24,1.08119
11.0,11,1.087236
32.0,32,1.11847
12.0,12,1.125074
13.0,13,1.132077
14.0,14,1.1397
22.0,22,1.151466
12.0,12,1.157982
19.0,19,1.168167
39.0,39,1.190431
24.0,24,1.203567
30.0,30,1.219914
12.0,12,1.22645
10.0,10,1.231973
13.0,13,1.24757
18.0,18,1.257365
18.0,18,1.283967
28.0,28,1.313189
30.0,30,1.353835
28.0,28,1.385314
20.0,20,1.412478
26.0,26,1.442766
12.0,12,1.4571
10.0,10,1.462612
17.0,17,1.486486
14.0,14,1.513425
44.0,44,1.549667
13.0,13,1.556763
20.0,20,1.584126
27.0,27,1.61333
13.0,13,1.637426
14.0,14,1.668916
13.0,13,1.676205
15.0,15,1.696838
22.0,22,1.710948
37.0,37,1.76301
43.0,43,1.80329
11.0,11,1.823516
13.0,13,1.830641
14.0,14,1.847115
30.0,30,1.879824
23.0,23,1.907436
24.0,24,1.961201
73.0,73,2.969952
11.0,11,2.976126
49.0,49,3.034363
25.0,25,3.061636
13.0,13,3.079424
15.0,15,3.08777
22.0,22,3.120347
16.0,16,3.129187
28.0,28,3.174324
11.0,11,3.193992
13.0,13,3.201427
28.0,28,3.229664
24.0,24,3.261913
14.0,14,3.280013
28.0,28,3.301866
27.0,27,3.337536
19.0,19,3.360965
22.0,22,3.38172
11.0,11,3.387759
18.0,18,3.407486
60.0,60,3.484188
38.0,38,3.533676
53.0,53,3.587054
42.0,42,3.629446
19.0,19,3.655981
19.0,19,3.682055
18.0,18,3.697511
19.0,19,3.719611
10.0,10,3.725382
32.0,32,3.771513
25.0,25,3.798527
29.0,29,3.825287
16.0,16,3.849658
16.0,16,3.858558
25.0,25,3.888263
49.0,49,3.951935
26.0,26,3.98168
19.0,19,3.999072
10.0,10,4.038644
20.0,20,4.066239
46.0,46,4.119337
26.0,26,4.133746
38.0,38,4.194409
22.0,22,4.219179
17.0,17,4.244703
19.0,19,4.255783
15.0,15,4.280899
25.0,25,4.302018
15.0,15,4.310278
24.0,24,4.347557
13.0,13,4.362381
10.0,10,4.367866
23.0,23,4.390672
21.0,21,4.41942
31.0,31,4.457472
27.0,27,4.488217
29.0,29,4.511331
35.0,35,4.564063
11.0,11,4.570868
13.0,13,4.586375
29.0,29,4.625182
14.0,14,4.632935
17.0,17,4.656944
21.0,21,4.677049
47.0,47,4.741135
12.0,12,4.748027
77.0,77,4.844456
21.0,21,4.856016
18.0,18,4.882406
