#{"t_start": 1707792797.9461837, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.030684
20.0,20,0.039237
17.0,17,0.046316
46.0,46,0.068988
28.0,28,0.084718
13.0,13,0.091475
17.0,17,0.100726
23.0,23,0.113743
45.0,45,0.137321
59.0,59,0.173914
10.0,10,0.180548
29.0,29,0.205753
15.0,15,0.213796
18.0,18,0.223643
12.0,12,0.230215
13.0,13,0.238968
26.0,26,0.253373
13.0,13,0.260383
25.0,25,0.273857
12.0,12,0.280263
29.0,29,0.296184
22.0,22,0.308052
40.0,40,0.329452
12.0,12,0.33591
19.0,19,0.346408
50.0,50,0.373077
15.0,15,0.381042
14.0,14,0.388499
22.0,22,0.400519
21.0,21,0.411852
12.0,12,0.418348
24.0,24,0.431125
88.0,88,0.478339
12.0,12,0.484928
25.0,25,0.498784
15.0,15,0.507072
15.0,15,0.515138
14.0,14,0.522665
17.0,17,0.531832
17.0,17,0.540899
32.0,32,0.558191
9.0,9,0.563043
25.0,25,0.64842
17.0,17,0.665648
15.0,15,0.673665
15.0,15,0.705901
15.0,15,0.71395
27.0,27,0.748765
38.0,38,0.785323
30.0,30,0.822273
21.0,21,0.833471
15.0,15,0.853721
15.0,15,0.875276
31.0,31,0.907954
15.0,15,0.915983
16.0,16,0.940802
42.0,42,0.98
20.0,20,1.014493
12.0,12,1.020885
13.0,13,1.027891
17.0,17,1.051983
24.0,24,1.080085
41.0,41,1.125317
56.0,56,1.154604
75.0,75,1.195568
11.0,11,1.201875
14.0,14,1.209314
30.0,30,1.225665
13.0,13,1.232641
21.0,21,1.243901
20.0,20,1.25472
36.0,36,1.276155
10.0,10,1.282067
16.0,16,1.290677
14.0,14,1.298174
38.0,38,1.319543
45.0,45,1.343473
17.0,17,1.352461
11.0,11,1.358399
25.0,25,1.371634
16.0,16,1.380186
35.0,35,1.40039
13.0,13,1.407339
26.0,26,1.421091
13.0,13,1.439896
43.0,43,1.489349
14.0,14,2.296126
19.0,19,2.306662
13.0,13,2.32912
26.0,26,2.355785
35.0,35,2.390943
24.0,24,2.42434
19.0,19,2.442663
23.0,23,2.472561
13.0,13,2.494472
29.0,29,2.518491
50.0,50,2.57795
35.0,35,2.618498
30.0,30,2.650806
11.0,11,2.656716
18.0,18,2.68365
11.0,11,2.714108
35.0,35,2.733215
20.0,20,2.759988
20.0,20,2.786971
13.0,13,2.794101
23.0,23,2.822633
11.0,11,2.829234
27.0,27,2.860547
24.0,24,2.894037
42.0,42,2.932675
12.0,12,2.955536
17.0,17,2.964678
19.0,19,2.991186
49.0,49,3.050578
17.0,17,3.059644
19.0,19,3.08604
35.0,35,3.118911
10.0,10,3.124331
15.0,15,3.140563
18.0,18,3.166928
44.0,44,3.207753
16.0,16,3.216206
23.0,23,3.228915
22.0,22,3.240593
17.0,17,3.249794
17.0,17,3.258746
18.0,18,3.27888
18.0,18,3.288557
15.0,15,3.298298
28.0,28,3.313145
14.0,14,3.320743
21.0,21,3.331823
17.0,17,3.340856
32.0,32,3.357975
17.0,17,3.375692
12.0,12,3.391364
18.0,18,3.41019
16.0,16,3.418867
30.0,30,3.451484
24.0,24,3.480519
16.0,16,3.488947
20.0,20,3.499701
20.0,20,3.51038
36.0,36,3.530324
13.0,13,3.537355
12.0,12,3.543663
16.0,16,3.552227
31.0,31,3.568814
21.0,21,3.580693
30.0,30,3.596497
37.0,37,3.64629
11.0,11,3.664386
15.0,15,3.672474
14.0,14,3.696146
