#{"t_start": 1707792797.9583106, "env_id": "CartPole-v1"}
r,l,t
44.0,44,0.042945
21.0,21,0.05485
29.0,29,0.071161
33.0,33,0.090329
24.0,24,0.104045
13.0,13,0.111323
11.0,11,0.117584
41.0,41,0.152481
23.0,23,0.189842
15.0,15,0.19879
35.0,35,0.234299
19.0,19,0.256165
19.0,19,0.283708
14.0,14,0.29143
17.0,17,0.316861
18.0,18,0.32655
30.0,30,0.343247
85.0,85,0.389158
14.0,14,0.397261
32.0,32,0.414564
25.0,25,0.42785
20.0,20,0.438686
24.0,24,0.466954
11.0,11,0.48083
18.0,18,0.506991
11.0,11,0.51307
23.0,23,0.541741
30.0,30,0.558284
17.0,17,0.567615
39.0,39,0.588611
9.0,9,0.593478
22.0,22,0.605651
15.0,15,0.613783
20.0,20,0.624442
22.0,22,0.636358
23.0,23,0.648791
30.0,30,0.665371
20.0,20,0.68024
22.0,22,0.708584
15.0,15,0.716918
26.0,26,0.74767
13.0,13,0.770898
29.0,29,0.894647
42.0,42,0.93646
9.0,9,0.941095
16.0,16,0.967329
12.0,12,0.973938
15.0,15,0.982062
24.0,24,0.995121
14.0,14,1.003599
23.0,23,1.01617
41.0,41,1.038438
13.0,13,1.045147
14.0,14,1.052716
14.0,14,1.060164
40.0,40,1.08222
26.0,26,1.096178
17.0,17,1.105163
22.0,22,1.116931
23.0,23,1.129422
33.0,33,1.160814
15.0,15,1.169771
23.0,23,1.18805
31.0,31,1.23196
18.0,18,1.252021
37.0,37,1.3004
42.0,42,1.354295
20.0,20,1.365164
24.0,24,1.394613
21.0,21,1.405914
23.0,23,1.434517
14.0,14,1.442003
17.0,17,1.451731
18.0,18,1.461389
31.0,31,1.478065
24.0,24,1.490924
17.0,17,1.500127
21.0,21,1.511544
47.0,47,1.537602
21.0,21,1.54892
21.0,21,1.56045
14.0,14,1.568033
16.0,16,1.597037
44.0,44,1.637079
16.0,16,1.660594
14.0,14,1.685654
16.0,16,1.716255
16.0,16,1.733691
16.0,16,2.649583
29.0,29,2.683386
11.0,11,2.689521
11.0,11,2.714434
32.0,32,2.745008
15.0,15,2.760174
25.0,25,2.790279
16.0,16,2.818005
43.0,43,2.880812
15.0,15,2.889467
10.0,10,2.919252
25.0,25,2.948541
28.0,28,2.980188
11.0,11,2.98611
10.0,10,2.991637
16.0,16,3.017048
15.0,15,3.025383
21.0,21,3.052119
35.0,35,3.102217
13.0,13,3.125814
25.0,25,3.139396
22.0,22,3.164704
13.0,13,3.181503
28.0,28,3.213908
17.0,17,3.239579
8.0,8,3.244069
24.0,24,3.273388
17.0,17,3.28821
33.0,33,3.322595
22.0,22,3.358875
14.0,14,3.366556
23.0,23,3.389031
33.0,33,3.423223
19.0,19,3.449625
14.0,14,3.47329
9.0,9,3.478159
13.0,13,3.485218
11.0,11,3.491208
20.0,20,3.518089
11.0,11,3.524479
22.0,22,3.552146
21.0,21,3.594054
22.0,22,3.606147
23.0,23,3.634791
11.0,11,3.653807
25.0,25,3.667635
14.0,14,3.685377
41.0,41,3.723735
14.0,14,3.773543
47.0,47,3.830419
18.0,18,3.840143
16.0,16,3.861367
21.0,21,3.883175
9.0,9,3.888058
31.0,31,3.921134
12.0,12,3.943677
13.0,13,3.951644
23.0,23,3.994687
34.0,34,4.02915
37.0,37,4.061317
37.0,37,4.091938
29.0,29,4.124475
10.0,10,4.145993
33.0,33,4.194228
9.0,9,4.199285
40.0,40,4.235593
13.0,13,4.255105
53.0,53,4.308771
25.0,25,4.338644
12.0,12,4.357511
44.0,44,4.392163
15.0,15,4.416726
22.0,22,4.4452
12.0,12,4.451647
22.0,22,4.49424
24.0,24,4.507266
14.0,14,4.531155
15.0,15,4.539322
15.0,15,4.56366
18.0,18,4.573466
12.0,12,4.586854
16.0,16,4.611954
23.0,23,4.6246
23.0,23,4.654088
14.0,14,4.678023
13.0,13,4.698831
10.0,10,4.70467
19.0,19,4.731636
12.0,12,4.738181
19.0,19,4.765043
11.0,11,4.7711
34.0,34,4.812848
13.0,13,4.820033
24.0,24,4.849338
43.0,43,4.922175
35.0,35,4.965591
15.0,15,4.980764
12.0,12,4.987416
20.0,20,5.752963
12.0,12,5.775916
18.0,18,5.786359
44.0,44,5.810435
18.0,18,5.82037
50.0,50,5.847816
14.0,14,5.855623
10.0,10,5.861257
19.0,19,5.871933
20.0,20,5.883109
12.0,12,5.889869
42.0,42,5.91398
15.0,15,5.938562
18.0,18,5.948505
20.0,20,5.97577
21.0,21,6.000069
13.0,13,6.007652
13.0,13,6.031121
12.0,12,6.03779
13.0,13,6.06128
23.0,23,6.085701
21.0,21,6.113438
25.0,25,6.14342
17.0,17,6.152661
26.0,26,6.183061
16.0,16,6.191904
27.0,27,6.231237
21.0,21,6.259908
17.0,17,6.269457
