#{"t_start": 1707792798.0733852, "env_id": "CartPole-v1"}
r,l,t
36.0,36,0.130178
27.0,27,0.193434
27.0,27,0.23243
13.0,13,0.264201
25.0,25,0.302182
32.0,32,0.343783
13.0,13,0.371273
29.0,29,0.411541
30.0,30,0.476511
12.0,12,0.483047
20.0,20,0.510154
15.0,15,0.518395
11.0,11,0.540578
27.0,27,0.571991
31.0,31,0.605024
22.0,22,0.617133
17.0,17,0.642647
17.0,17,0.668384
17.0,17,0.681848
21.0,21,0.693304
16.0,16,0.718146
31.0,31,0.751549
28.0,28,0.783011
9.0,9,0.78797
31.0,31,0.820814
11.0,11,0.842926
17.0,17,0.852451
11.0,11,0.858203
15.0,15,0.897897
18.0,18,0.907614
40.0,40,0.96122
41.0,41,0.988562
49.0,49,1.083576
10.0,10,1.114391
33.0,33,1.15007
36.0,36,1.193841
21.0,21,1.216914
19.0,19,1.230417
25.0,25,1.25842
21.0,21,1.282641
29.0,29,1.320827
19.0,19,1.339607
15.0,15,1.359617
23.0,23,1.473681
22.0,22,1.514816
34.0,34,1.550734
40.0,40,1.578288
15.0,15,1.602315
13.0,13,1.609387
47.0,47,1.670254
26.0,26,1.70359
26.0,26,1.735122
25.0,25,1.769063
12.0,12,1.775571
15.0,15,1.802297
13.0,13,1.809862
13.0,13,1.83107
11.0,11,1.837088
11.0,11,1.864215
27.0,27,1.880487
26.0,26,1.90968
15.0,15,1.929332
19.0,19,1.948391
36.0,36,1.992816
14.0,14,2.002604
16.0,16,2.032655
26.0,26,2.059523
17.0,17,2.071434
21.0,21,2.110803
22.0,22,2.123425
11.0,11,2.12946
26.0,26,2.172406
17.0,17,2.196338
13.0,13,2.203881
28.0,28,2.236689
19.0,19,2.256239
10.0,10,2.26181
19.0,19,2.290557
45.0,45,2.348171
13.0,13,2.355284
16.0,16,2.38054
9.0,9,2.386365
11.0,11,2.400661
12.0,12,2.407195
14.0,14,2.433235
24.0,24,2.446199
28.0,28,2.477885
17.0,17,2.507512
21.0,21,2.528131
27.0,27,2.55694
13.0,13,2.584878
13.0,13,2.59672
28.0,28,2.650747
22.0,22,2.667909
32.0,32,3.331425
27.0,27,3.346116
53.0,53,3.391256
17.0,17,3.416953
15.0,15,3.425121
15.0,15,3.451244
13.0,13,3.458362
12.0,12,3.487695
23.0,23,3.514422
13.0,13,3.530083
24.0,24,3.543396
12.0,12,3.567259
16.0,16,3.589492
67.0,67,3.652291
12.0,12,3.65893
12.0,12,3.665459
13.0,13,3.673402
14.0,14,3.680921
11.0,11,3.687371
15.0,15,3.695475
18.0,18,3.705875
15.0,15,3.713916
21.0,21,3.725459
10.0,10,3.730889
28.0,28,3.745999
22.0,22,3.758118
42.0,42,3.781863
14.0,14,3.790155
43.0,43,3.813767
11.0,11,3.819822
12.0,12,3.83444
36.0,36,3.872579
22.0,22,3.901651
15.0,15,3.910318
32.0,32,3.943907
26.0,26,3.957997
22.0,22,3.969895
12.0,12,3.976539
61.0,61,4.011888
27.0,27,4.027325
38.0,38,4.048688
14.0,14,4.056554
31.0,31,4.085773
23.0,23,4.123235
14.0,14,4.138219
27.0,27,4.162298
9.0,9,4.184492
19.0,19,4.215592
27.0,27,4.230107
13.0,13,4.249761
33.0,33,4.28362
21.0,21,4.321048
