#{"t_start": 1707773610.4748547, "env_id": "LunarLander-v2"}
r,l,t
-266.018227,92,27.226684
-201.186822,124,27.32348
-183.295056,76,27.599277
-22.731197,176,27.742913
-86.842417,135,27.854726
-262.198409,96,27.938732
-90.034645,128,28.040303
-278.951833,84,28.109938
-61.713959,79,28.174222
-301.072575,177,28.319296
-238.475325,92,28.599099
-85.693789,67,28.650623
-218.546788,130,28.755158
-402.985467,115,28.84712
-96.001262,121,28.951701
-129.960832,158,29.085615
-86.001272,103,29.167827
-133.325448,133,29.276089
-58.37463,84,29.34407
-104.144768,118,29.639785
-125.017286,102,29.720105
-151.635773,84,29.788152
-202.997026,389,30.173812
-178.333061,113,30.263242
-276.089017,140,30.378587
-214.195625,95,30.455609
-49.706554,71,30.511231
-101.49833,86,30.7864
-185.123342,105,30.871495
-268.031811,76,30.932352
-323.327778,119,31.03498
-124.371346,115,31.127878
-284.43822,114,31.218531
-179.454302,78,31.285065
-243.892877,106,31.369814
-228.289817,147,31.495454
-100.951582,90,31.570591
-124.126784,154,31.914469
-73.11299,86,31.985542
-306.712131,92,32.060671
-196.955706,133,32.179635
-334.434177,79,32.245579
-90.715319,90,32.32038
-71.672801,113,32.413739
-323.17749,125,32.51359
-146.33437,110,32.599249
-84.806348,94,32.875649
-69.656429,115,32.96674
-80.936298,146,33.082434
-51.66082,77,33.150252
-101.929079,98,33.226633
-295.668969,142,33.345845
-104.877174,146,33.464862
0.712528,98,33.543274
-74.800662,123,33.644008
-416.077657,98,33.924917
-490.872536,104,34.010271
-277.561965,137,34.130478
-242.456513,109,34.217649
-415.737937,79,34.279255
-48.874552,116,34.372868
-369.296986,92,34.445527
-308.958834,105,34.528932
-528.913192,144,34.644896
-234.311558,164,34.988667
-205.851097,112,35.078388
-314.554014,146,35.204802
-208.613954,120,35.299758
-28.067685,140,35.415217
-405.072639,92,35.488855
-333.005464,262,35.720048
-259.711887,119,36.020761
-218.312122,88,36.090692
-198.431871,166,36.237582
-30.19908,100,36.317055
-204.734574,189,36.473828
-190.536003,119,36.568211
-274.762209,225,36.758217
-68.468072,153,37.088117
-220.325214,106,37.174534
-313.373008,109,37.273025
-329.930223,198,37.439799
-256.361036,92,37.512571
-420.565859,180,37.660974
-365.668999,151,37.782876
-306.19014,103,37.864876
-223.07923,94,38.145799
-284.003138,186,38.321223
-168.775222,127,38.429181
-357.795554,180,38.580819
-41.039565,87,38.649787
-288.457128,190,38.824448
-225.315176,121,38.925293
-136.258991,114,39.225536
-460.099748,191,39.402024
-252.332055,107,39.488241
-432.337348,189,39.652375
-46.822849,146,39.771417
13.010908,114,39.864474
-268.185251,140,39.984146
-60.216563,111,40.286405
-384.203081,92,40.362967
-465.182958,77,40.433575
