#{"t_start": 1707792798.025574, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.088646
24.0,24,0.15651
15.0,15,0.164897
13.0,13,0.196354
10.0,10,0.201927
9.0,9,0.231135
28.0,28,0.271034
20.0,20,0.306256
15.0,15,0.338607
33.0,33,0.384576
23.0,23,0.413605
23.0,23,0.442326
53.0,53,0.499304
18.0,18,0.525833
15.0,15,0.534121
12.0,12,0.556874
23.0,23,0.569451
10.0,10,0.591046
43.0,43,0.639242
32.0,32,0.673001
22.0,22,0.70131
14.0,14,0.72529
12.0,12,0.731922
16.0,16,0.757227
39.0,39,0.794603
15.0,15,0.818785
62.0,62,0.885374
22.0,22,0.897411
13.0,13,0.921201
44.0,44,0.963884
43.0,43,1.011868
38.0,38,1.032884
18.0,18,1.043073
53.0,53,1.071576
16.0,16,1.080326
26.0,26,1.094901
15.0,15,1.103112
21.0,21,1.114458
10.0,10,1.119872
48.0,48,1.146585
30.0,30,1.238662
26.0,26,1.252068
11.0,11,1.257975
23.0,23,1.2698
38.0,38,1.289184
17.0,17,1.298621
35.0,35,1.3314
25.0,25,1.361266
21.0,21,1.389016
27.0,27,1.420001
12.0,12,1.426495
19.0,19,1.448149
12.0,12,1.454741
15.0,15,1.462877
36.0,36,1.483134
26.0,26,1.497198
46.0,46,1.522122
25.0,25,1.535713
20.0,20,1.546724
15.0,15,1.571179
22.0,22,1.600326
49.0,49,1.643448
18.0,18,1.669481
17.0,17,1.690853
23.0,23,1.703547
10.0,10,1.725316
17.0,17,1.735229
15.0,15,1.759626
21.0,21,1.787441
11.0,11,1.793431
12.0,12,1.799985
20.0,20,1.827091
12.0,12,1.833747
26.0,26,1.847738
13.0,13,1.854825
28.0,28,1.870523
20.0,20,1.881312
22.0,22,1.893232
27.0,27,1.907705
10.0,10,1.913199
28.0,28,1.944644
12.0,12,1.951258
29.0,29,1.983919
16.0,16,1.996769
33.0,33,2.037247
17.0,17,2.06269
18.0,18,2.081244
34.0,34,2.126901
29.0,29,2.749346
52.0,52,2.810119
29.0,29,2.842212
12.0,12,2.849365
19.0,19,2.884071
14.0,14,2.891768
12.0,12,2.914698
12.0,12,2.921312
26.0,26,2.951813
26.0,26,2.982127
12.0,12,2.989263
28.0,28,3.020875
77.0,77,3.115784
16.0,16,3.140876
13.0,13,3.148184
10.0,10,3.153677
18.0,18,3.179587
46.0,46,3.237377
17.0,17,3.247093
24.0,24,3.276386
11.0,11,3.298759
25.0,25,3.314435
21.0,21,3.325993
12.0,12,3.348819
19.0,19,3.37541
29.0,29,3.407584
20.0,20,3.432836
16.0,16,3.441494
19.0,19,3.46803
38.0,38,3.50549
17.0,17,3.520787
27.0,27,3.55144
13.0,13,3.574441
27.0,27,3.589484
27.0,27,3.634615
22.0,22,3.662703
37.0,37,3.698887
91.0,91,3.795235
17.0,17,3.845816
11.0,11,3.868002
15.0,15,3.876063
18.0,18,3.90204
23.0,23,3.92852
23.0,23,3.940897
18.0,18,3.966957
12.0,12,3.973394
41.0,41,4.032303
20.0,20,4.060241
15.0,15,4.068559
15.0,15,4.092752
23.0,23,4.105102
33.0,33,4.145701
19.0,19,4.17236
36.0,36,4.208091
37.0,37,4.260132
30.0,30,4.292848
20.0,20,4.303621
12.0,12,4.316615
49.0,49,4.375371
14.0,14,4.38299
21.0,21,4.410483
13.0,13,4.430004
13.0,13,4.437258
19.0,19,4.46392
15.0,15,4.488395
16.0,16,4.497178
19.0,19,4.518137
11.0,11,4.524136
26.0,26,4.554621
18.0,18,4.580696
23.0,23,4.600817
23.0,23,4.624481
33.0,33,4.660258
21.0,21,4.691921
19.0,19,4.726577
9.0,9,4.731813
22.0,22,4.759991
12.0,12,4.766551
13.0,13,4.773589
14.0,14,4.797586
35.0,35,4.824678
10.0,10,4.846482
19.0,19,4.856846
23.0,23,4.885567
38.0,38,4.935875
31.0,31,4.995529
16.0,16,5.004288
21.0,21,5.021844
22.0,22,5.050384
21.0,21,5.791934
19.0,19,5.814013
44.0,44,5.854448
22.0,22,5.878664
16.0,16,5.903729
13.0,13,5.910837
27.0,27,5.941879
12.0,12,5.948543
17.0,17,5.974168
14.0,14,5.998801
24.0,24,6.011974
12.0,12,6.03489
27.0,27,6.049378
56.0,56,6.079206
23.0,23,6.091623
19.0,19,6.101915
12.0,12,6.109174
27.0,27,6.123779
19.0,19,6.134067
24.0,24,6.147331
28.0,28,6.162654
19.0,19,6.172904
16.0,16,6.181603
16.0,16,6.19043
13.0,13,6.197383
18.0,18,6.208122
25.0,25,6.221931
31.0,31,6.255031
20.0,20,6.27939
20.0,20,6.290714
18.0,18,6.316882
15.0,15,6.32515
12.0,12,6.345281
23.0,23,6.378695
19.0,19,6.389221
16.0,16,6.41418
20.0,20,6.441408
11.0,11,6.447404
26.0,26,6.477566
14.0,14,6.485285
15.0,15,6.509495
17.0,17,6.534926
49.0,49,6.578303
8.0,8,6.598951
15.0,15,6.625968
62.0,62,6.69227
14.0,14,6.716099
23.0,23,6.728681
27.0,27,6.767882
26.0,26,6.798387
27.0,27,6.829402
37.0,37,6.865808
30.0,30,6.899409
28.0,28,6.930718
22.0,22,6.942608
12.0,12,6.949003
18.0,18,6.958753
17.0,17,6.96842
11.0,11,6.974451
21.0,21,6.985745
17.0,17,6.995037
14.0,14,7.002673
18.0,18,7.012498
11.0,11,7.018487
23.0,23,7.030864
35.0,35,7.049597
16.0,16,7.058404
54.0,54,7.087618
27.0,27,7.103122
16.0,16,7.128083
19.0,19,7.138573
14.0,14,7.162554
22.0,22,7.17474
54.0,54,7.24089
18.0,18,7.281595
27.0,27,7.296515
15.0,15,7.321135
15.0,15,7.32924
31.0,31,7.379633
12.0,12,7.386315
36.0,36,7.422091
23.0,23,7.445231
16.0,16,7.470327
26.0,26,7.500887
18.0,18,7.51054
39.0,39,7.564337
17.0,17,7.607344
22.0,22,7.635789
15.0,15,7.644227
21.0,21,7.672167
26.0,26,7.699401
13.0,13,7.706474
16.0,16,7.735303
39.0,39,8.466943
19.0,19,8.477116
40.0,40,8.498704
44.0,44,8.522445
48.0,48,8.548332
39.0,39,8.569491
21.0,21,8.580875
12.0,12,8.587447
55.0,55,8.636263
18.0,18,8.662423
14.0,14,8.670084
37.0,37,8.722724
19.0,19,8.732892
11.0,11,8.738935
36.0,36,8.758399
19.0,19,8.768792
64.0,64,8.803548
56.0,56,8.833912
15.0,15,8.841998
14.0,14,8.850948
14.0,14,8.85876
41.0,41,8.881164
54.0,54,8.942955
12.0,12,8.949444
24.0,24,8.978467
40.0,40,9.016521
29.0,29,9.060588
17.0,17,9.069844
28.0,28,9.128582
13.0,13,9.149876
42.0,42,9.188832
29.0,29,9.204561
13.0,13,9.211653
27.0,27,9.226419
15.0,15,9.234376
29.0,29,9.250137
26.0,26,9.26424
34.0,34,9.282633
20.0,20,9.293475
35.0,35,9.312376
14.0,14,9.321204
35.0,35,9.35658
27.0,27,9.387504
45.0,45,9.42772
24.0,24,9.457028
12.0,12,9.479738
54.0,54,9.508996
18.0,18,9.518722
17.0,17,9.527879
17.0,17,9.537338
39.0,39,9.560635
17.0,17,9.569925
37.0,37,9.589927
74.0,74,9.646165
21.0,21,9.67302
55.0,55,9.735166
14.0,14,9.742777
26.0,26,9.772979
22.0,22,9.78491
33.0,33,9.804133
14.0,14,9.811764
24.0,24,9.824862
27.0,27,9.839498
18.0,18,9.849309
12.0,12,9.855916
29.0,29,9.888911
22.0,22,9.900871
34.0,34,9.919239
15.0,15,9.927421
12.0,12,9.95017
26.0,26,9.980648
17.0,17,9.989882
17.0,17,10.015378
35.0,35,10.763869
22.0,22,10.792269
28.0,28,10.823798
15.0,15,10.84831
14.0,14,10.856064
43.0,43,10.912072
35.0,35,10.947521
84.0,84,11.041421
25.0,25,11.075201
22.0,22,11.102415
53.0,53,11.149316
20.0,20,11.176619
28.0,28,11.212584
20.0,20,11.240063
10.0,10,11.245552
12.0,12,11.263594
17.0,17,11.272845
24.0,24,11.302207
11.0,11,11.324472
27.0,27,11.35532
36.0,36,11.391064
20.0,20,11.401913
15.0,15,11.426296
13.0,13,11.433394
19.0,19,11.46019
20.0,20,11.487291
20.0,20,11.498101
33.0,33,11.549853
14.0,14,11.557333
17.0,17,11.58269
12.0,12,11.589293
11.0,11,11.603405
13.0,13,11.610541
15.0,15,11.634933
28.0,28,11.666396
15.0,15,11.701833
38.0,38,11.738928
15.0,15,11.763476
24.0,24,11.776431
17.0,17,11.805908
23.0,23,11.842853
10.0,10,11.848328
18.0,18,11.874337
16.0,16,11.883072
70.0,70,11.969476
14.0,14,11.977056
21.0,21,12.00464
25.0,25,12.034606
12.0,12,12.042555
28.0,28,12.061982
18.0,18,12.08813
23.0,23,12.116604
12.0,12,12.123175
22.0,22,12.151318
36.0,36,12.187219
17.0,17,12.212869
15.0,15,12.221238
52.0,52,12.285648
17.0,17,12.307181
54.0,54,12.362157
27.0,27,12.393094
11.0,11,12.399142
27.0,27,12.429991
14.0,14,12.454404
21.0,21,12.465951
33.0,33,12.516518
22.0,22,12.528607
16.0,16,12.553661
11.0,11,12.559656
12.0,12,12.58232
26.0,26,12.612782
13.0,13,12.619858
20.0,20,12.646949
13.0,13,12.654077
20.0,20,12.681147
23.0,23,12.710009
11.0,11,12.716134
25.0,25,12.746097
15.0,15,12.77049
40.0,40,12.846088
20.0,20,12.856963
25.0,25,12.886877
20.0,20,12.91403
26.0,26,12.944396
12.0,12,12.950899
17.0,17,12.976419
17.0,17,12.985688
22.0,22,12.99759
12.0,12,13.004145
16.0,16,13.012838
35.0,35,13.031719
14.0,14,13.039402
15.0,15,13.713573
13.0,13,13.720931
9.0,9,13.726099
23.0,23,13.754985
35.0,35,13.790482
19.0,19,13.817182
12.0,12,13.823882
11.0,11,13.846086
16.0,16,13.868517
13.0,13,13.875662
17.0,17,13.901168
14.0,14,13.908915
17.0,17,13.938366
16.0,16,13.947083
14.0,14,13.971018
18.0,18,13.980372
34.0,34,14.035452
18.0,18,14.04566
15.0,15,14.070495
10.0,10,14.076255
22.0,22,14.106778
11.0,11,14.112914
12.0,12,14.135906
17.0,17,14.145498
39.0,39,14.195287
11.0,11,14.201336
22.0,22,14.233453
11.0,11,14.239479
14.0,14,14.268102
12.0,12,14.274774
18.0,18,14.292916
14.0,14,14.300893
13.0,13,14.324647
28.0,28,14.356368
13.0,13,14.363459
