#{"t_start": 1707792797.9656475, "env_id": "CartPole-v1"}
r,l,t
33.0,33,0.043688
10.0,10,0.04929
23.0,23,0.062441
48.0,48,0.086139
26.0,26,0.100744
36.0,36,0.120785
13.0,13,0.128193
21.0,21,0.141045
13.0,13,0.148192
29.0,29,0.166577
32.0,32,0.183986
30.0,30,0.200193
15.0,15,0.208466
11.0,11,0.214011
8.0,8,0.218292
17.0,17,0.227381
27.0,27,0.242226
9.0,9,0.24719
19.0,19,0.257437
17.0,17,0.266396
38.0,38,0.287814
16.0,16,0.296671
26.0,26,0.310509
18.0,18,0.320121
18.0,18,0.329644
11.0,11,0.335567
21.0,21,0.347092
32.0,32,0.380583
18.0,18,0.406357
18.0,18,0.416062
27.0,27,0.446518
13.0,13,0.475107
29.0,29,0.502711
21.0,21,0.524066
19.0,19,0.544917
15.0,15,0.553102
26.0,26,0.578962
47.0,47,0.650327
39.0,39,0.705405
11.0,11,0.711365
10.0,10,0.716798
12.0,12,0.739374
14.0,14,0.746778
41.0,41,0.785298
22.0,22,0.797158
27.0,27,0.85378
22.0,22,0.865292
14.0,14,0.87272
13.0,13,0.879739
35.0,35,0.898417
18.0,18,0.907993
10.0,10,0.914081
36.0,36,0.948984
17.0,17,0.973769
27.0,27,0.992669
15.0,15,1.000741
40.0,40,1.054347
12.0,12,1.061951
33.0,33,1.111306
29.0,29,1.138687
23.0,23,1.179288
10.0,10,1.184541
11.0,11,1.213842
12.0,12,1.22026
17.0,17,1.246345
9.0,9,1.251327
35.0,35,1.284138
15.0,15,1.307534
23.0,23,1.335358
19.0,19,1.345479
11.0,11,1.366745
36.0,36,1.410664
31.0,31,1.443316
15.0,15,1.459485
14.0,14,1.466952
20.0,20,1.490746
17.0,17,1.49971
16.0,16,1.524515
20.0,20,1.551987
21.0,21,1.563285
24.0,24,1.607604
12.0,12,1.614018
87.0,87,1.697839
19.0,19,1.724319
9.0,9,1.729136
15.0,15,1.753381
59.0,59,1.816096
19.0,19,1.843198
22.0,22,1.871202
33.0,33,1.922051
42.0,42,2.742251
17.0,17,2.751595
39.0,39,2.772911
19.0,19,2.783472
27.0,27,2.798609
15.0,15,2.806974
22.0,22,2.820028
30.0,30,2.838253
11.0,11,2.844453
16.0,16,2.853527
39.0,39,2.876548
