#{"t_start": 1707792798.0770977, "env_id": "CartPole-v1"}
r,l,t
35.0,35,0.110292
13.0,13,0.141532
9.0,9,0.146499
14.0,14,0.170627
35.0,35,0.206047
28.0,28,0.26706
18.0,18,0.276714
31.0,31,0.309645
14.0,14,0.333668
20.0,20,0.368727
43.0,43,0.422239
21.0,21,0.449758
14.0,14,0.457433
16.0,16,0.482638
17.0,17,0.491802
21.0,21,0.519336
26.0,26,0.549361
14.0,14,0.55698
11.0,11,0.579236
20.0,20,0.590596
11.0,11,0.612881
16.0,16,0.621547
13.0,13,0.644839
19.0,19,0.671325
11.0,11,0.677495
27.0,27,0.708753
46.0,46,0.749578
50.0,50,0.809433
26.0,26,0.839964
22.0,22,0.868318
34.0,34,0.903127
82.0,82,1.008334
23.0,23,1.021164
20.0,20,1.035059
14.0,14,1.057694
25.0,25,1.086792
16.0,16,1.095721
18.0,18,1.120836
65.0,65,1.187744
21.0,21,1.215233
49.0,49,1.362198
20.0,20,1.372927
14.0,14,1.404607
12.0,12,1.41112
17.0,17,1.436532
18.0,18,1.446272
23.0,23,1.474969
48.0,48,1.518019
27.0,27,1.548758
26.0,26,1.57915
16.0,16,1.60399
19.0,19,1.614233
20.0,20,1.641389
12.0,12,1.664084
25.0,25,1.678208
12.0,12,1.70094
29.0,29,1.716453
13.0,13,1.723526
13.0,13,1.730665
13.0,13,1.737653
22.0,22,1.749537
29.0,29,1.765738
12.0,12,1.772218
19.0,19,1.782389
23.0,23,1.794755
11.0,11,1.800841
23.0,23,1.813261
12.0,12,1.819858
12.0,12,1.826271
16.0,16,1.851109
29.0,29,1.88381
47.0,47,1.925401
10.0,10,1.946867
18.0,18,1.956844
35.0,35,1.975654
13.0,13,1.982852
13.0,13,1.989884
19.0,19,2.000842
26.0,26,2.014728
13.0,13,2.021808
47.0,47,2.046487
12.0,12,2.053025
24.0,24,2.065787
16.0,16,2.074475
15.0,15,2.083535
26.0,26,2.098012
20.0,20,2.108955
12.0,12,2.115503
15.0,15,2.123705
24.0,24,2.145366
22.0,22,2.157424
18.0,18,2.930951
24.0,24,2.960452
21.0,21,2.972032
18.0,18,2.998097
17.0,17,3.023644
17.0,17,3.032945
14.0,14,3.041175
11.0,11,3.047231
19.0,19,3.057596
16.0,16,3.066319
19.0,19,3.076583
26.0,26,3.090908
16.0,16,3.100128
17.0,17,3.109386
22.0,22,3.121395
35.0,35,3.140511
18.0,18,3.150757
10.0,10,3.15626
21.0,21,3.172281
21.0,21,3.19998
24.0,24,3.226631
26.0,26,3.257537
11.0,11,3.263558
22.0,22,3.291834
11.0,11,3.297839
39.0,39,3.351129
24.0,24,3.380234
23.0,23,3.409475
10.0,10,3.414891
10.0,10,3.420331
20.0,20,3.447506
20.0,20,3.474522
20.0,20,3.485262
14.0,14,3.509425
15.0,15,3.517686
12.0,12,3.540332
16.0,16,3.549112
27.0,27,3.57982
24.0,24,3.60899
10.0,10,3.614421
13.0,13,3.637814
12.0,12,3.644294
64.0,64,3.709256
38.0,38,3.762129
9.0,9,3.767083
10.0,10,3.772586
9.0,9,3.794179
12.0,12,3.80078
15.0,15,3.825201
28.0,28,3.866794
17.0,17,3.89223
21.0,21,3.919942
24.0,24,3.932777
13.0,13,3.956045
10.0,10,3.961374
42.0,42,4.020574
28.0,28,4.052255
24.0,24,4.065837
33.0,33,4.116385
13.0,13,4.123564
34.0,34,4.158219
13.0,13,4.181555
16.0,16,4.190334
23.0,23,4.219055
26.0,26,4.249409
20.0,20,4.277081
19.0,19,4.303776
42.0,42,4.342596
22.0,22,4.370843
15.0,15,4.379045
21.0,21,4.406955
20.0,20,4.434258
12.0,12,4.440963
30.0,30,4.474261
18.0,18,4.500393
11.0,11,4.506444
18.0,18,4.532455
29.0,29,4.564136
26.0,26,4.594873
15.0,15,4.603093
13.0,13,4.626531
12.0,12,4.633225
17.0,17,4.658859
18.0,18,4.669781
14.0,14,4.693786
15.0,15,4.702066
9.0,9,4.723224
23.0,23,4.752033
22.0,22,4.763894
77.0,77,4.855397
13.0,13,4.86255
18.0,18,4.888726
23.0,23,4.917708
13.0,13,4.924802
28.0,28,4.956225
11.0,11,4.982619
14.0,14,5.001251
22.0,22,5.029522
14.0,14,5.036978
15.0,15,5.061279
19.0,19,5.088012
29.0,29,5.817497
42.0,42,5.840402
20.0,20,5.851341
12.0,12,5.857866
14.0,14,5.865462
47.0,47,5.890916
11.0,11,5.897019
37.0,37,5.917194
11.0,11,5.923206
28.0,28,5.938515
12.0,12,5.94613
15.0,15,5.954396
19.0,19,5.964824
14.0,14,5.972498
25.0,25,5.986089
22.0,22,6.014332
23.0,23,6.042988
10.0,10,6.048402
24.0,24,6.073342
18.0,18,6.103567
15.0,15,6.127896
11.0,11,6.133997
22.0,22,6.162193
11.0,11,6.170079
21.0,21,6.181535
18.0,18,6.1914
21.0,21,6.20296
15.0,15,6.211103
27.0,27,6.225699
25.0,25,6.239759
15.0,15,6.247894
17.0,17,6.257148
15.0,15,6.265359
10.0,10,6.270909
10.0,10,6.276318
16.0,16,6.284936
36.0,36,6.321831
52.0,52,6.382409
33.0,33,6.416361
62.0,62,6.474208
13.0,13,6.497499
17.0,17,6.506617
28.0,28,6.573809
20.0,20,6.601109
20.0,20,6.628265
28.0,28,6.659679
12.0,12,6.666198
22.0,22,6.678254
40.0,40,6.732378
8.0,8,6.736733
23.0,23,6.76557
38.0,38,6.802515
23.0,23,6.832224
16.0,16,6.840915
21.0,21,6.868638
14.0,14,6.876174
15.0,15,6.900724
13.0,13,6.907721
16.0,16,6.932619
34.0,34,6.983445
19.0,19,6.993829
16.0,16,7.018728
11.0,11,7.024743
9.0,9,7.045891
13.0,13,7.052957
15.0,15,7.061043
16.0,16,7.069708
22.0,22,7.08264
24.0,24,7.09587
15.0,15,7.10416
26.0,26,7.118242
29.0,29,7.134119
11.0,11,7.140157
20.0,20,7.151026
42.0,42,7.174314
24.0,24,7.203593
13.0,13,7.215132
45.0,45,7.258738
13.0,13,7.282358
20.0,20,7.293413
20.0,20,7.320513
22.0,22,7.348822
17.0,17,7.358155
11.0,11,7.378654
14.0,14,7.38622
11.0,11,7.392563
14.0,14,7.400253
10.0,10,7.405752
26.0,26,7.419888
27.0,27,7.43463
18.0,18,7.44453
16.0,16,7.453264
27.0,27,7.480748
21.0,21,7.492197
11.0,11,7.498109
18.0,18,7.507956
13.0,13,7.529679
21.0,21,7.541306
28.0,28,7.57284
22.0,22,8.272882
11.0,11,8.279083
17.0,17,8.288501
26.0,26,8.302727
13.0,13,8.309859
18.0,18,8.319816
22.0,22,8.331857
13.0,13,8.339016
9.0,9,8.344098
21.0,21,8.355668
14.0,14,8.363444
17.0,17,8.372815
19.0,19,8.38322
24.0,24,8.412692
25.0,25,8.443532
18.0,18,8.469606
13.0,13,8.476775
20.0,20,8.503933
21.0,21,8.531574
10.0,10,8.537568
15.0,15,8.545755
20.0,20,8.556629
22.0,22,8.568603
29.0,29,8.58397
12.0,12,8.590632
11.0,11,8.596967
39.0,39,8.618013
19.0,19,8.628305
16.0,16,8.636999
48.0,48,8.664344
18.0,18,8.674193
21.0,21,8.690724
46.0,46,8.732053
14.0,14,8.755951
19.0,19,8.766238
13.0,13,8.789625
42.0,42,8.836915
16.0,16,8.845603
11.0,11,8.8517
13.0,13,8.858773
14.0,14,8.866531
23.0,23,8.879928
26.0,26,8.89414
25.0,25,8.918136
17.0,17,8.927491
24.0,24,8.940545
17.0,17,8.949773
29.0,29,8.965547
16.0,16,8.974164
70.0,70,9.056842
13.0,13,9.064031
15.0,15,9.082616
20.0,20,9.093438
15.0,15,9.114901
18.0,18,9.141001
22.0,22,9.153037
14.0,14,9.185027
13.0,13,9.208362
20.0,20,9.219285
22.0,22,9.249476
24.0,24,9.262302
16.0,16,9.287305
15.0,15,9.295448
32.0,32,9.328999
12.0,12,9.352689
19.0,19,9.379234
28.0,28,9.394539
31.0,31,9.443942
64.0,64,9.51131
30.0,30,9.543939
20.0,20,9.57488
17.0,17,9.584396
13.0,13,9.600858
17.0,17,9.611141
16.0,16,9.636061
