#{"t_start": 1707792797.9834592, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.035839
13.0,13,0.044709
13.0,13,0.052104
19.0,19,0.062921
9.0,9,0.068041
14.0,14,0.086062
14.0,14,0.114092
17.0,17,0.124523
13.0,13,0.131641
21.0,21,0.171016
27.0,27,0.21222
47.0,47,0.261546
16.0,16,0.294413
24.0,24,0.319348
10.0,10,0.324806
14.0,14,0.332322
15.0,15,0.373598
25.0,25,0.411014
31.0,31,0.443703
17.0,17,0.468943
43.0,43,0.528355
37.0,37,0.560533
47.0,47,0.618809
31.0,31,0.651704
9.0,9,0.668973
9.0,9,0.673907
32.0,32,0.707361
20.0,20,0.734677
54.0,54,0.796415
31.0,31,0.829694
22.0,22,0.853925
49.0,49,0.896257
26.0,26,0.927018
17.0,17,0.952433
13.0,13,0.959308
22.0,22,0.98742
33.0,33,1.021109
23.0,23,1.050845
22.0,22,1.079028
30.0,30,1.111021
19.0,19,1.124144
22.0,22,1.168458
27.0,27,1.278656
13.0,13,1.285708
25.0,25,1.315213
30.0,30,1.347215
17.0,17,1.372248
27.0,27,1.402883
52.0,52,1.445816
44.0,44,1.489531
23.0,23,1.518821
23.0,23,1.54755
17.0,17,1.572659
41.0,41,1.610564
17.0,17,1.635925
11.0,11,1.642396
16.0,16,1.667409
28.0,28,1.698818
12.0,12,1.713619
24.0,24,1.744566
21.0,21,1.76052
35.0,35,1.79643
21.0,21,1.822269
14.0,14,1.846118
32.0,32,1.87921
21.0,21,1.907244
9.0,9,1.912173
23.0,23,1.938839
19.0,19,1.958074
35.0,35,1.993355
24.0,24,2.021086
21.0,21,2.046517
23.0,23,2.062351
19.0,19,2.089055
28.0,28,2.120787
10.0,10,2.126344
28.0,28,2.174243
13.0,13,2.18151
38.0,38,2.221435
15.0,15,2.250219
18.0,18,2.274149
21.0,21,2.294221
39.0,39,2.33749
14.0,14,2.35447
19.0,19,2.364893
18.0,18,2.412168
14.0,14,2.433789
18.0,18,2.44373
23.0,23,3.401268
12.0,12,3.407875
17.0,17,3.430059
20.0,20,3.440938
30.0,30,3.4813
22.0,22,3.50953
28.0,28,3.538361
12.0,12,3.554961
30.0,30,3.587295
17.0,17,3.596447
36.0,36,3.647932
18.0,18,3.672128
20.0,20,3.682954
13.0,13,3.706846
23.0,23,3.732103
28.0,28,3.756658
20.0,20,3.767538
26.0,26,3.797843
20.0,20,3.82437
29.0,29,3.870991
11.0,11,3.877024
12.0,12,3.88356
37.0,37,3.932452
29.0,29,3.958452
31.0,31,3.992041
19.0,19,4.018495
15.0,15,4.0267
12.0,12,4.049549
17.0,17,4.072951
46.0,46,4.1138
18.0,18,4.13597
10.0,10,4.141438
16.0,16,4.161292
23.0,23,4.190137
27.0,27,4.222885
18.0,18,4.248989
12.0,12,4.255542
18.0,18,4.265577
19.0,19,4.292381
26.0,26,4.323366
14.0,14,4.347258
12.0,12,4.353775
17.0,17,4.377067
21.0,21,4.40492
17.0,17,4.414521
10.0,10,4.43621
39.0,39,4.491132
14.0,14,4.498745
19.0,19,4.525342
21.0,21,4.552835
16.0,16,4.57545
23.0,23,4.60402
15.0,15,4.612234
27.0,27,4.643306
10.0,10,4.655441
30.0,30,4.68908
20.0,20,4.700072
12.0,12,4.723055
23.0,23,4.751789
26.0,26,4.77969
42.0,42,4.83513
20.0,20,4.846738
14.0,14,4.877788
25.0,25,4.891479
16.0,16,4.916528
12.0,12,4.923139
12.0,12,4.929635
23.0,23,4.971827
26.0,26,5.001932
19.0,19,5.012504
33.0,33,5.060178
10.0,10,5.065732
17.0,17,5.091588
42.0,42,5.130877
22.0,22,5.159131
31.0,31,5.188431
19.0,19,5.215321
19.0,19,5.225805
17.0,17,5.251312
16.0,16,5.274543
36.0,36,5.310402
16.0,16,5.334723
15.0,15,5.343088
10.0,10,5.348676
17.0,17,5.374307
14.0,14,5.382042
16.0,16,5.407692
26.0,26,5.438323
35.0,35,5.475076
16.0,16,5.503869
13.0,13,5.512726
9.0,9,5.517805
28.0,28,5.559812
14.0,14,5.567622
15.0,15,5.605558
19.0,19,5.636472
26.0,26,5.67105
44.0,44,5.711399
22.0,22,6.465045
10.0,10,6.486781
15.0,15,6.494929
14.0,14,6.518687
21.0,21,6.530011
24.0,24,6.571648
12.0,12,6.57809
13.0,13,6.601421
12.0,12,6.60793
11.0,11,6.613776
18.0,18,6.631907
28.0,28,6.655221
22.0,22,6.683814
45.0,45,6.741902
29.0,29,6.777854
12.0,12,6.784473
15.0,15,6.809122
21.0,21,6.836496
10.0,10,6.842119
31.0,31,6.879286
12.0,12,6.885808
40.0,40,6.939847
19.0,19,6.950164
11.0,11,6.976465
18.0,18,6.986342
17.0,17,7.011701
15.0,15,7.019785
16.0,16,7.044788
23.0,23,7.062706
11.0,11,7.068665
21.0,21,7.096164
14.0,14,7.103747
14.0,14,7.127558
24.0,24,7.156721
14.0,14,7.164414
22.0,22,7.192783
14.0,14,7.224635
11.0,11,7.23089
22.0,22,7.242806
12.0,12,7.265714
24.0,24,7.278804
28.0,28,7.294158
27.0,27,7.317942
26.0,26,7.332051
12.0,12,7.33863
24.0,24,7.351814
11.0,11,7.357803
13.0,13,7.364889
17.0,17,7.384872
12.0,12,7.391437
37.0,37,7.411425
10.0,10,7.41689
17.0,17,7.42626
14.0,14,7.433886
14.0,14,7.441374
22.0,22,7.453373
30.0,30,7.469573
18.0,18,7.495576
19.0,19,7.505966
13.0,13,7.529372
16.0,16,7.538168
11.0,11,7.56072
37.0,37,7.59831
24.0,24,7.611139
17.0,17,7.620521
17.0,17,7.629905
36.0,36,7.649531
30.0,30,7.665922
21.0,21,7.677348
9.0,9,7.682397
23.0,23,7.69487
18.0,18,7.704429
30.0,30,7.721863
9.0,9,7.726814
36.0,36,7.746941
14.0,14,7.754751
28.0,28,7.769979
15.0,15,7.794492
11.0,11,7.800524
15.0,15,7.808751
11.0,11,7.81463
32.0,32,7.8316
27.0,27,7.846212
19.0,19,7.856557
14.0,14,7.865405
21.0,21,7.876936
18.0,18,7.88688
12.0,12,7.909977
11.0,11,7.916041
13.0,13,7.923221
22.0,22,7.951526
25.0,25,7.981479
13.0,13,7.988715
23.0,23,8.017488
15.0,15,8.025638
16.0,16,8.05071
28.0,28,8.081364
17.0,17,8.108109
17.0,17,8.117546
17.0,17,8.173678
25.0,25,8.18779
14.0,14,8.195546
12.0,12,8.202155
15.0,15,8.210382
16.0,16,8.219205
20.0,20,8.230211
13.0,13,8.237361
46.0,46,9.072321
11.0,11,9.078408
28.0,28,9.09351
16.0,16,9.102156
15.0,15,9.110346
13.0,13,9.117352
16.0,16,9.126053
18.0,18,9.13576
31.0,31,9.152207
21.0,21,9.163603
14.0,14,9.171192
15.0,15,9.179307
14.0,14,9.187076
41.0,41,9.210158
11.0,11,9.216237
15.0,15,9.224427
12.0,12,9.230947
33.0,33,9.265582
23.0,23,9.29009
15.0,15,9.298265
16.0,16,9.330191
20.0,20,9.361235
11.0,11,9.367251
15.0,15,9.375411
32.0,32,9.392856
15.0,15,9.400934
32.0,32,9.418271
23.0,23,9.430464
17.0,17,9.440813
17.0,17,9.450144
12.0,12,9.456696
9.0,9,9.461565
28.0,28,9.476545
23.0,23,9.488954
24.0,24,9.501847
15.0,15,9.50997
13.0,13,9.517053
23.0,23,9.529456
23.0,23,9.55814
15.0,15,9.566236
13.0,13,9.589452
9.0,9,9.594339
10.0,10,9.59972
42.0,42,9.656422
18.0,18,9.666182
22.0,22,9.688522
16.0,16,9.697086
15.0,15,9.705314
12.0,12,9.711806
51.0,51,9.739474
25.0,25,9.753035
19.0,19,9.763245
32.0,32,9.780532
30.0,30,9.796742
17.0,17,9.805905
12.0,12,9.813389
19.0,19,9.839998
20.0,20,9.850654
22.0,22,9.87881
21.0,21,9.898565
44.0,44,9.938615
13.0,13,9.961895
9.0,9,9.967357
16.0,16,9.975902
14.0,14,9.983639
18.0,18,9.993427
49.0,49,10.020072
16.0,16,10.028748
13.0,13,10.035791
16.0,16,10.04447
14.0,14,10.051988
13.0,13,10.059146
18.0,18,10.068992
22.0,22,10.080907
14.0,14,10.088458
15.0,15,10.097275
13.0,13,10.104317
13.0,13,10.111417
14.0,14,10.135059
55.0,55,10.182176
32.0,32,10.219533
23.0,23,10.248235
14.0,14,10.255832
16.0,16,10.264942
13.0,13,10.272813
39.0,39,10.294143
15.0,15,10.303797
20.0,20,10.314734
15.0,15,10.322879
12.0,12,10.329578
28.0,28,10.344755
23.0,23,10.357295
17.0,17,10.366702
17.0,17,10.386962
10.0,10,10.392508
36.0,36,10.412122
18.0,18,10.434309
11.0,11,10.440323
29.0,29,10.47224
22.0,22,10.50048
18.0,18,10.52669
16.0,16,10.535427
30.0,30,11.382434
14.0,14,11.395332
16.0,16,11.403987
13.0,13,11.427177
14.0,14,11.434797
14.0,14,11.470644
16.0,16,11.479284
13.0,13,11.49577
24.0,24,11.524976
31.0,31,11.558077
43.0,43,11.597425
12.0,12,11.604867
19.0,19,11.631408
22.0,22,11.659474
19.0,19,11.669709
13.0,13,11.693081
17.0,17,11.717265
17.0,17,11.742932
10.0,10,11.748445
17.0,17,11.77394
17.0,17,11.7832
9.0,9,11.788215
15.0,15,11.801957
11.0,11,11.807891
13.0,13,11.83127
20.0,20,11.858317
14.0,14,11.867372
14.0,14,11.891254
12.0,12,11.91279
17.0,17,11.921985
13.0,13,11.945232
19.0,19,11.955622
